comparison,treatment_role,timestep,reference_fine_dt,coarse_dt,selected_dt,selected_dt_basis,is_selected_treatment,first_walkers,second_walkers,mean_difference,paired_standard_error,source_run_quadrature_standard_error,worst_case_arbitrary_covariance_standard_error_envelope,conservative_standard_error,upper_allowance,reporting_resolution,bounded_below_reporting_resolution,classification
reference_fine_last_doubling,reference_fine,0.00125,0.00125,0.0025,0.0025,explicit_selected_dt,False,512,1024,-0.0003564420097745824,0.0009715532201773157,0.0009163991514043821,0.001285360184951179,0.0009715532201773157,0.0030539061923750446,0.01,True,accepted_finite_population_bound
coarse_last_doubling,coarse,0.0025,0.00125,0.0025,0.0025,explicit_selected_dt,True,512,1024,-0.0008990743572439896,0.001063188011237578,0.0009583940244330757,0.0013227822359035666,0.001063188011237578,0.0038509575069495395,0.01,True,accepted_finite_population_bound
timestep_population_interaction,cross_timestep,,0.00125,0.0025,0.0025,explicit_selected_dt,,512,1024,-0.0005426323474694072,0.001367036478353489,0.0013260115047629482,0.002608142420854746,0.001367036478353489,0.004338134086420781,0.01,True,accepted
