case,status,energy_status,energy_status_basis,source_energy_status,source_energy_stationarity_reason,r2_status,density_status,guide_family,relative_alpha,contact_beta,local_step_method,drift_limiter,dt,walkers,burn_tau,production_tau,grid_extent,n_bins,store_every,seeds,energy,energy_stderr,energy_lda,energy_relative_delta_vs_lda,r2,r2_stderr,r2_lda,rms_radius,rms_mc_statistical_stderr,rms_lda,rms_fw_lag_systematic_relative_upper_bound,rms_relative_delta_vs_lda,density_fw_relative_l2_vs_lda,density_fw_relative_l2_vs_mixed,density_fw_lag_systematic_relative_l2_upper_bound,r2_selected_window_lags,r2_pooled_ancestor_ess_lower_min,r2_seed_plateau_resolved_count,r2_seed_plateau_unresolved_count,density_selected_window_lags
N10_A0,accepted,accepted,source_packet,accepted,accepted,accepted,accepted,reduced-tg,,,metropolis,,0.0025,256,60.0,480.0,35.0,840,10,"[7001, 7002, 7003, 7004, 7005]",50.0,0.0,50.00035042178761,-7.008386634341908e-06,5.000323160905641,0.0008315596507085461,5.001512159809183,2.2361402373074997,0.00018593638199315568,2.236406081151002,0.00010051705037996456,-0.00011887100725711947,0.04842729065529805,0.0012561704647056533,0.00010691328634581013,"[8000, 12000, 16000, 20000]",1280.0,4,1,"[800, 1600, 2800]"
N10_A0.1,accepted,accepted,retrospective_matrix_stationarity_assessment,trace_nonstationary,block_drift+cumulative_drift+spread_warning+trend_detected,accepted,accepted,contact-corrected-reduced-tg,1.0637325870622627,5.363445591190197e-08,metropolis,umrigar,0.0025,256,60.0,480.0,35.5,840,10,"[7001, 7002, 7003, 7004, 7005]",56.64321333257236,3.380629882281105e-05,56.76009497680214,-0.002059222139736513,6.0105623720610115,0.0008041482628584756,6.029313884597161,2.45164482991746,0.00016400178627944836,2.455466123691622,9.116115617157497e-05,-0.0015562396635377454,0.07408011942984905,0.0026140154882882466,0.00010296003397815279,"[8000, 12000, 16000, 20000]",962.0458208840581,5,0,"[800, 1600, 2800]"
N10_A1,accepted,accepted,source_packet,accepted,spread_warning,accepted,accepted,contact-corrected-reduced-tg,1.6224444406063525,5.363445591190197e-08,metropolis,umrigar,0.00125,512,60.0,480.0,40.0,840,20,"[7001, 7002, 7003, 7004, 7005]",146.8372648745057,0.00023482824821975792,148.22746286846348,-0.009378815281965843,21.295950114704294,0.0008102149898455614,21.49331076094077,4.614753526972409,8.778529396098835e-05,4.636087872435203,6.851583262315649e-05,-0.004601799200062957,0.6729133865423078,0.010978147387696948,0.00045207923531053276,"[3200, 4800, 6400, 8000]",670.3885524165411,4,1,"[1600, 3200, 5600]"
N10_A10,accepted,accepted,source_packet,accepted,spread_warning,accepted,accepted,contact-corrected-reduced-tg,5.5908651157560385,5.363445591190197e-08,metropolis,umrigar,0.000125,256,60.0,480.0,178.871,3579,200,"[7001, 7002, 7003, 7004, 7005]",4535.876057509662,0.0008664468559287866,4583.431403430708,-0.010375489831799528,879.4783826476148,0.007936543697286374,888.6185027759892,29.656000786478522,0.00013381008036837176,29.809704842148122,2.8483696423504895e-05,-0.005156175027009217,3.193532199887779,0.014659209882459745,0.001579207581151541,"[40000, 80000, 160000]",64.10458814150769,3,2,"[16000, 32000, 56000]"
N20_A0,accepted,accepted,source_packet,accepted,accepted,accepted,accepted,reduced-tg,,,metropolis,,0.0025,256,60.0,480.0,35.0,840,10,"[7001, 7002, 7003, 7004, 7005]",200.0,0.0,200.00015670445123,-7.835216422358877e-07,9.999199859870592,0.0011199435795094706,10.00511567827637,3.162151144374758,0.00017708571291757678,3.1630864165046724,7.700892143416389e-05,-0.00029568339487474356,0.029681026034966203,0.0011259560929314486,5.918183336280498e-05,"[8000, 12000, 16000, 20000]",1280.0,4,1,"[800, 1600, 2800]"
N20_A0.1,accepted,accepted,source_packet,accepted,spread_warning,accepted,accepted,contact-corrected-reduced-tg,1.0908094794241916,5.363445591190197e-08,metropolis,umrigar,0.0025,256,60.0,480.0,36.0,840,10,"[7001, 7002, 7003, 7004, 7005]",238.80537962459675,7.88659084338527e-05,238.99300486533937,-0.0007850658258735932,12.974803100430432,0.001996597128993603,12.983440495471884,3.602055399411624,0.0002771469213549209,3.6032541536050275,0.00010618312201823824,-0.00033268655007430366,0.05557267351505521,0.003345190726803426,0.00014119192281475832,"[8000, 12000, 16000, 20000]",507.39184563518506,3,2,"[800, 1600, 2800]"
N20_A1,accepted,accepted,source_packet,accepted,spread_warning,accepted,accepted,contact-corrected-reduced-tg,1.8669363227063642,5.363445591190197e-08,metropolis,umrigar,0.000625,512,60.0,480.0,48.512,972,40,"[7001, 7002, 7003, 7004, 7005]",838.0703893870741,0.0003306746369573825,840.3765669464424,-0.0027442192584544705,65.16312278203644,0.0024719907832123464,65.36498624227396,8.072367854727412,0.00015311435428234834,8.084861547501847,8.650563325611847e-05,-0.0015453193231608024,0.8373490697960493,0.018667298140053714,0.0006770778012583285,"[32000, 48000, 64000, 80000]",168.61688163580416,1,4,"[3200, 6400, 11200]"
N20_A10,accepted,accepted,source_packet,accepted,spread_warning,accepted,accepted,contact-corrected-reduced-tg,7.011111084682286,5.363445591190197e-08,metropolis,umrigar,0.00025,512,60.0,480.0,353.565,7073,100,"[7001, 7002, 7003, 7004, 7005]",35333.61359597035,0.0010045971494192765,35425.34480484719,-0.0025894231766033847,3463.4155395511407,0.012262022047363617,3472.3518972260226,58.85079047515964,0.00010417890693022466,58.926665417500274,5.666802274940851e-06,-0.0012876164263335222,3.7753375208256585,0.02419100372789988,0.0019314565020120437,"[20000, 40000, 60000]",65.60209790834092,1,4,"[8000, 16000, 28000]"
