shell_cell,left,right,center,anchor_envelope,candidate_envelope,anchor_peak_position,candidate_peak_position,peak_position_shift_in_cell_widths,anchor_peak_amplitude,candidate_peak_amplitude,peak_amplitude_relative_difference
1,-353.614995050905,-88.34061015793817,-220.97780260442158,0.0037696817218273106,0.0037696817218273123,-97.09038885746605,-97.09038885746605,0.0,1.8262692535092717,1.8222937914568749,-0.002176821432413535
2,-88.34061015793817,-78.02225898595603,-83.18143457194711,0.09691470888443324,0.09691470888443277,-86.7914083710407,-86.7914083710407,0.0,1.9832001432445359,1.9817192011410931,-0.0007467436448546756
3,-78.02225898595603,-75.044469526353,-76.53336425615451,0.3358195781018414,0.33581957810184243,-76.49242788461538,-76.49242788461538,0.0,2.0555132465870063,2.0530563146179572,-0.0011952888034794094
4,-75.044469526353,-64.86128504603596,-69.95287728619448,0.0982011081045314,0.09820110810453067,-66.29343749999998,-66.29343749999998,0.0,2.106852501751479,2.1050713828816194,-0.0008453932434182532
5,-64.86128504603596,-54.646820483775755,-59.75405276490586,0.09790038370633156,0.09790038370633208,-56.0944471153846,-56.0944471153846,0.0,2.113047551136319,2.111566782177942,-0.0007007740822401465
6,-54.646820483775755,-37.04587436953274,-45.84634742665425,0.05681512763627981,0.05681512763628001,-45.895456730769226,-45.895456730769226,0.0,2.1205599753997633,2.1191808334375173,-0.0006503668739602543
7,-37.04587436953274,-34.2643029674617,-35.65508866849722,0.3595090168296393,0.35950901682963804,-35.69646634615384,-35.69646634615384,0.0,2.1378829246481366,2.136781762157415,-0.0005150714653389161
8,-34.2643029674617,-24.059449167093785,-29.161876067277746,0.09799258466240318,0.09799258466240353,-25.49747596153844,-25.49747596153844,0.0,2.161111249978021,2.1603734047788885,-0.00034141935041055916
9,-24.059449167093785,-6.449340370361189,-15.254394768727487,0.05678556626439136,0.05678556626439156,-15.298485576923056,-15.298485576923056,0.0,2.183617400053306,2.1834455377683755,-7.870531024633494e-05
10,-6.449340370361189,3.750522296695666,-1.3494090368327616,0.09804053570542312,0.09804053570542277,-5.099495192307685,-5.099495192307685,0.0,2.1963315091652325,2.196318276531199,-6.0248801140408865e-06
11,3.750522296695666,13.87600797471595,8.813265135705809,0.09876069472605467,0.09876069472605536,5.0994951923077,5.0994951923077,0.0,2.1963315091652325,2.196318276531199,-6.0248801140408865e-06
12,13.87600797471595,24.077845915011928,18.97692694486394,0.09802155316054627,0.09802155316054696,15.298485576923099,15.298485576923099,0.0,2.183617400053306,2.1834455377683755,-7.870531024633494e-05
13,24.077845915011928,34.271932025065745,29.174888970038836,0.09809609112618344,0.09809609112618325,25.497475961538484,25.497475961538484,0.0,2.161111249978021,2.1603734047788885,-0.00034141935041055916
14,34.271932025065745,44.481703144108806,39.37681758458727,0.09794538862235803,0.09794538862235856,35.696466346153855,35.696466346153855,0.0,2.1378829246481366,2.136781762157415,-0.0005150714653389161
15,44.481703144108806,54.66120988285995,49.57145651348438,0.09823658706302732,0.09823658706302679,45.89545673076924,45.89545673076924,0.0,2.1205599753997633,2.1191808334375173,-0.0006503668739602543
16,54.66120988285995,64.86489252636765,59.7630512046138,0.09800383204158841,0.09800383204158859,56.09444711538464,56.09444711538464,0.0,2.113047551136319,2.111566782177942,-0.0007007740822401465
17,64.86489252636765,75.09741853911358,69.98115553274062,0.09772757955898397,0.09772757955898327,66.29343750000002,66.29343750000002,0.0,2.106852501751479,2.1050713828816194,-0.0008453932434182532
18,75.09741853911358,85.34176131599664,80.2195899275551,0.09761485160927617,0.09761485160927617,76.49242788461538,76.49242788461538,0.0,2.0555132465870063,2.0530563146179572,-0.0011952888034794094
19,85.34176131599664,95.54794728516323,90.44485430057993,0.09797979411908135,0.09797979411908135,86.79140837104075,86.79140837104075,0.0,1.9832001432445359,1.9817192011410931,-0.0007467436448546756
20,95.54794728516323,353.614995050905,224.5814711680341,0.0038749619862653967,0.003874961986265355,97.09038885746607,97.09038885746607,0.0,1.8262692535092717,1.8222937914568749,-0.002176821432413535
