comparison,treatment_role,timestep,reference_fine_dt,coarse_dt,selected_dt,selected_dt_basis,is_selected_treatment,first_walkers,second_walkers,mean_difference,paired_standard_error,source_run_quadrature_standard_error,worst_case_arbitrary_covariance_standard_error_envelope,conservative_standard_error,upper_allowance,reporting_resolution,bounded_below_reporting_resolution,classification
reference_fine_last_doubling,reference_fine,0.01,0.01,0.04,0.04,explicit_selected_dt,False,256,512,-8.859935320515433e-05,0.0001230222639871005,0.00014159218251978673,0.00019464845837004915,0.00014159218251978673,0.0006978213438350988,0.01,True,accepted_finite_population_bound
coarse_last_doubling,coarse,0.04,0.01,0.04,0.04,explicit_selected_dt,True,256,512,6.0614148144585066e-05,0.00018116601907139168,0.0001812005678067388,0.0002485009142150311,0.0001812005678067388,0.0008402572658504022,0.01,True,accepted_finite_population_bound
timestep_population_interaction,cross_timestep,,0.01,0.04,0.04,explicit_selected_dt,,256,512,0.0001492135013497394,0.000218987679796576,0.00022996084867690225,0.00044314937258508024,0.00022996084867690225,0.0011386551746449156,0.01,True,accepted
