dt,energy,conservative_stderr,case_id,run_name,result_schema_version,run_id,bundle_sha256,run_status,energy_status,energy_publication_accepted,energy_publication_status,energy_status_basis,source_energy_publication_accepted,source_energy_publication_status,energy_assessment_manifest_sha256,energy_assessment_run_id,seed_count,seeds,summary_path,summary_sha256,manifest_path,manifest_sha256,manifest_verification,local_acceptance_fraction_mean,invalid_proposal_fraction_max,metropolis_rejection_fraction_max,configuration_esjd_mean,log_weight_span_max,rhat_energy,neff_energy,population_weight_status
0.0025,56.64321333257236,3.380629882281105e-05,N10_A0.1,dmc_benchmark_packet,dmc_benchmark_packet_v3,dmc_benchmark_packet_2026-07-14T20:18:56Z_f82b9e31a0e9,a31b01bc7677555c3e4698cf1358ed5e22329441ba365a4d79a92c96b2fe25d1,trace_nonstationary,trace_nonstationary,True,accepted_with_retrospective_assessment,retrospective_matrix_stationarity_assessment,False,unresolved,7e5038095da52b337f4a787069cabb1135ff41987d70b5c525dc6bee5f5d7e95,dmc_final_matrix_assembly_2026-07-15T10:47:01Z_f295addf0a1a,5,"7001,7002,7003,7004,7005",/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/final_matrix/thesis_5seed_all_optimized_v1/N10_A0.1/summary.json,c02f14e5db7b0d309a8f59af5e8c1e42b47827784468807f0bf4b1ed2444ea7b,/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/final_matrix/thesis_5seed_all_optimized_v1/N10_A0.1/run_manifest.json,29e4a8d0b16f1bddc618fa752314df71fe32441d8bc8cd36eb280e2ad4c8e53a,verified,0.9837656575520833,0.006640625,0.026171875,0.024824109888617198,3.4714964409935343,1.0007524545457078,1030.1104175297737,accepted
0.005,56.643342574241956,0.0001378034450607489,N10_A0.1,dmc_trapped_stationarity_grid,dmc_trapped_stationarity_grid_v2,dmc_trapped_stationarity_grid_2026-07-16T10:29:15Z_ee3e16de91d0,4ebc965857d9dceb995469d6a5ec5b8839d916f9ab9199efe8973e188342b23b,accepted_with_warnings,blocking_plateau_unresolved_correlated_error_available,True,accepted_with_precision_warning,source_summary,True,accepted_with_precision_warning,,,3,"10001,10002,10003",/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/timestep_energy_v1/N10_A0.1/dt_0.005_seeds10001_10003_tau60/summary.json,ecc82508b824f6d5b9994350a8417a16ef996a448a8ae6e3715f695437c7d829,/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/timestep_energy_v1/N10_A0.1/dt_0.005_seeds10001_10003_tau60/run_manifest.json,a49381c1244aa603e17f16390a81d284322e870c85cce54c0fba74e556a1cd3d,verified,0.962417751736111,0.01484375,0.05234375,0.04889583790499912,0.9754332361288303,1.0052254850255908,92.95037434365885,accepted
0.01,56.643308785782345,0.0001208224735641077,N10_A0.1,dmc_trapped_stationarity_grid,dmc_trapped_stationarity_grid_v2,dmc_trapped_stationarity_grid_2026-07-16T10:30:55Z_4dc52b819d1c,70615a5a63b3ed1394a3c32a315fe516a06efedc042dfb0f1181e82cd524fe0d,accepted_with_warnings,blocking_plateau_unresolved_correlated_error_available,True,accepted_with_precision_warning,source_summary,True,accepted_with_precision_warning,,,3,"10021,10022,10023",/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/timestep_energy_v1/N10_A0.1/dt_0.01_seeds10021_10023_tau60/summary.json,52923c347287767989b8f770b9b89141553cd6217f7f0a5f60558690a776b5a2,/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/timestep_energy_v1/N10_A0.1/dt_0.01_seeds10021_10023_tau60/run_manifest.json,ef3cd1ae728cbe7e5e853e9f0bf347d45f97c361b160ee8395d5f12019676d4b,verified,0.9152671440972222,0.041015625,0.1171875,0.09397512294279582,1.093050008959977,1.0097806146810007,81.97143228104656,accepted
0.02,56.643091778840756,0.00011599630526935602,N10_A0.1,dmc_trapped_stationarity_grid,dmc_trapped_stationarity_grid_v2,dmc_trapped_stationarity_grid_2026-07-16T10:30:18Z_6e0abc88cc03,00d29fc2246a20d1cbd81120cf3d08a657c9a13c2a433e150390f3b16222d93f,accepted_with_warnings,blocking_plateau_unresolved_correlated_error_available,True,accepted_with_precision_warning,source_summary,True,accepted_with_precision_warning,,,3,"10011,10012,10013",/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/timestep_energy_v1/N10_A0.1/dt_0.02_seeds10011_10013_tau60/summary.json,3e20657809403be252358d568d482921145708d3cb32c97ec1b452521842673b,/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/timestep_energy_v1/N10_A0.1/dt_0.02_seeds10011_10013_tau60/run_manifest.json,83a34efc94e46dfa2e1a051b5117714d54d6bc9f19c28e658edc2e324d1f0565,verified,0.8157825520833333,0.08984375,0.24609375,0.16929633054138807,1.1266272832730928,1.0100167609332444,114.52133119858168,accepted
0.04,56.64302635944457,0.00018124140958814208,N10_A0.1,dmc_trapped_stationarity_grid,dmc_trapped_stationarity_grid_v2,dmc_trapped_stationarity_grid_2026-07-16T08:37:03Z_f6d581ef9375,939ac4ac0f9620fccca8af46531300db9fba5995087674897946a75eda474b9d,accepted_with_warnings,blocking_plateau_unresolved_correlated_error_available,True,accepted_with_precision_warning,source_summary,True,accepted_with_precision_warning,,,3,"8204,8205,8206",/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/calibration/acceptance_dmc_ladder_v1/N10_A0.1/dt_0.04_seeds8204_8206_tau20/summary.json,cdec9caa259475beb97b1191d65ebb552236966105b69a2dbf0a029ce247c5ce,/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/calibration/acceptance_dmc_ladder_v1/N10_A0.1/dt_0.04_seeds8204_8206_tau20/run_manifest.json,a823aede623230fd4312b0a9b4fb02ad3e8d079bc957347843428d7c62d34a50,verified,0.6234140625,0.18359375,0.34375,0.25807081226137035,0.9488745571554774,1.0140068804161664,31.77264534843581,accepted
