dt,walkers,energy,conservative_stderr,case_id,run_name,result_schema_version,run_id,bundle_sha256,run_status,energy_status,energy_publication_accepted,energy_publication_status,energy_status_basis,source_energy_publication_accepted,source_energy_publication_status,seed_count,seeds,summary_path,summary_sha256,manifest_path,manifest_sha256,manifest_verification,local_acceptance_fraction_mean,invalid_proposal_fraction_max,metropolis_rejection_fraction_max,configuration_esjd_mean,log_weight_span_max,rhat_energy,neff_energy,population_weight_status
0.001,256,4535.872558248644,0.000919710332082202,N10_A10,dmc_trapped_stationarity_grid,dmc_trapped_stationarity_grid_v2,dmc_trapped_stationarity_grid_2026-07-16T19:03:18Z_6bf8219091af,55c8d7e18022903e968ead0efb5062058dd570a599e96fc10bec5b63d8f7fcf6,grid_contains_unresolved_case,trace_nonstationary,True,accepted_with_retrospective_assessment,retrospective_population_stationarity_assessment,False,unresolved,5,"12101,12102,12103,12104,12105",/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/population_energy_recovery_v1/N10_A10/dt_0.001_W256_seeds12101_12105_burn20_tau400/summary.json,354ba596d532b74ecd703c97015e9ee8ae0501b333dc8b5d27ed307ba1ceeb6c,/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/population_energy_recovery_v1/N10_A10/dt_0.001_W256_seeds12101_12105_burn20_tau400/run_manifest.json,455a78f1a27acc9459ed840a49b7aa1526a972ed9d8e75d7825598e83c03035b,verified,0.96017472265625,0.0103515625,0.0494140625,0.009763162905654777,6.991615992877155,1.0001818488331498,4501.164751293128,accepted
0.001,512,4535.871512340112,0.0006792378564218304,N10_A10,dmc_trapped_stationarity_grid,dmc_trapped_stationarity_grid_v2,dmc_trapped_stationarity_grid_2026-07-16T19:05:57Z_532a9f02118b,643918b1de65c950bb27a7b1951943d2b5c960e5bea105e0253de292b434cea0,accepted_with_warnings,blocking_plateau_unresolved_correlated_error_available,True,accepted_with_precision_warning,retrospective_population_stationarity_assessment,True,accepted_with_precision_warning,5,"12101,12102,12103,12104,12105",/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/population_energy_recovery_v1/N10_A10/dt_0.001_W512_seeds12101_12105_burn20_tau400/summary.json,a0c5d1e8f461406284684f61c987f6d71ac007e3cd640d86d405e8d413b7fe34,/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/population_energy_recovery_v1/N10_A10/dt_0.001_W512_seeds12101_12105_burn20_tau400/run_manifest.json,86a96974c7c87cf1f36e6d3f972322b4d934e5d475723576b5c8a640c2dcaacf,verified,0.9601735517578124,0.00810546875,0.043359375,0.0097632223540369,6.853188333410399,1.0001572482071008,4214.724072258792,accepted
0.002,256,4535.86837768075,0.0009929766944197253,N10_A10,dmc_trapped_stationarity_grid,dmc_trapped_stationarity_grid_v2,dmc_trapped_stationarity_grid_2026-07-16T17:13:49Z_0cc3f6133bdc,87d8f2d4661e41245192c074bcf6227855149fb1ffa06d6af237327ee7837300,grid_contains_unresolved_case,trace_nonstationary,True,accepted_with_retrospective_assessment,retrospective_population_stationarity_assessment,False,unresolved,5,"12101,12102,12103,12104,12105",/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/population_energy_recovery_v1/N10_A10/dt_0.002_W256_seeds12101_12105_burn20_tau400/summary.json,ccee19223391bc2a7fe2273e56e7121183f72271883fc216fc5a21d65e834bac,/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/population_energy_recovery_v1/N10_A10/dt_0.002_W256_seeds12101_12105_burn20_tau400/run_manifest.json,74a547773045526ba8467d5dea0740cad9bcd919ff425f3ad48d722bfec4bb57,verified,0.91053169140625,0.025390625,0.099609375,0.018705763345542796,6.741995988136162,1.0003577651781275,4111.005654283906,accepted
0.002,512,4535.867673536852,0.0007038354151658672,N10_A10,dmc_trapped_stationarity_grid,dmc_trapped_stationarity_grid_v2,dmc_trapped_stationarity_grid_2026-07-16T17:15:18Z_3f146b4da881,1ccdafd757fdd8d262687681116cf12a8fea14d0dce918a16dc2d158a6144646,grid_contains_unresolved_case,trace_nonstationary,True,accepted_with_retrospective_assessment,retrospective_population_stationarity_assessment,False,unresolved,5,"12101,12102,12103,12104,12105",/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/population_energy_recovery_v1/N10_A10/dt_0.002_W512_seeds12101_12105_burn20_tau400/summary.json,ba6ba402f7e4f81902715af4a830f6bdd43defdd360a89d69f275e19b04e8308,/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/population_energy_recovery_v1/N10_A10/dt_0.002_W512_seeds12101_12105_burn20_tau400/run_manifest.json,18f30d933f71a7f7c74e1b423c179cd8128a8adfa32e3054e052ee8104738e42,verified,0.9105333496093749,0.0220703125,0.0921875,0.018704916369022336,6.902233532448854,1.0002291940325858,3859.5802495588564,accepted
