comparison,treatment_role,timestep,reference_fine_dt,coarse_dt,selected_dt,selected_dt_basis,is_selected_treatment,first_walkers,second_walkers,mean_difference,paired_standard_error,source_run_quadrature_standard_error,worst_case_arbitrary_covariance_standard_error_envelope,conservative_standard_error,upper_allowance,reporting_resolution,bounded_below_reporting_resolution,classification
reference_fine_last_doubling,reference_fine,0.0005,0.0005,0.000625,0.000625,explicit_selected_dt,False,512,1024,0.0015432234140462242,0.006344555179905896,0.006158897105430902,0.00870623693608781,0.006344555179905896,0.028841641077914416,0.01,False,additional_population_point_required
coarse_last_doubling,coarse,0.000625,0.0005,0.000625,0.000625,explicit_selected_dt,True,512,1024,-0.0016538296816482518,0.005475922686815724,0.005423194001188074,0.007459872764698904,0.005475922686815724,0.025214823377972935,0.01,False,additional_population_point_required
timestep_population_interaction,cross_timestep,,0.0005,0.000625,0.000625,explicit_selected_dt,,512,1024,-0.003197053095694476,0.008380877621278924,0.008206280931689302,0.016166109700786715,0.008380877621278924,0.039257059070586416,0.01,False,timestep_population_interaction_unresolved
