shell_cell,left,right,center,anchor_envelope,candidate_envelope,anchor_peak_position,candidate_peak_position,peak_position_shift_in_cell_widths,anchor_peak_amplitude,candidate_peak_amplitude,peak_amplitude_relative_difference
1,-35.54231227651967,-3.3770186279346475,-19.459665452227156,0.031089409937471245,0.03110131478095384,-3.85041716328963,-3.85041716328963,0.0,0.9547609357967228,0.9537558687167197,-0.0010526897805725988
2,-3.3770186279346475,-2.4305234488960963,-2.903771038415372,1.056529417313883,1.055931574266058,-2.8349225268176372,-2.8349225268176372,0.0,1.1633971832384569,1.162060453409787,-0.001148988366078898
3,-2.4305234488960963,-1.584561245975939,-2.0075423474360177,1.1820859094509462,1.1820066305826837,-1.9886769964243118,-1.9886769964243118,0.0,1.2709115566957125,1.2706717407452528,-0.0001886960183785321
4,-1.584561245975939,-0.7830382302141013,-1.1837997380950203,1.2476248096874827,1.2478376695643143,-1.1424314660309864,-1.1424314660309864,0.0,1.3285510850818656,1.328649322650353,7.394338809442688e-05
5,-0.7830382302141013,2.2066209744584464e-15,-0.39151911510704956,1.2770768545062905,1.2771782385877986,-0.3808104886769925,-0.3808104886769925,0.0,1.3572588161006005,1.3570195520921027,-0.00017628473336075648
6,2.2066209744584464e-15,0.7830382302141048,0.3915191151070535,1.2770768545062923,1.2771782385878008,0.3808104886769996,0.3808104886769996,0.0,1.3572588161006005,1.3570195520921027,-0.00017628473336075648
7,0.7830382302141048,1.584561245975941,1.183799738095023,1.247624809687485,1.2478376695643134,1.1424314660309918,1.1424314660309918,0.0,1.3285510850818656,1.328649322650353,7.394338809442688e-05
8,1.584561245975941,2.4305234488960976,2.0075423474360194,1.1820859094509473,1.1820066305826857,1.9886769964243172,1.9886769964243172,0.0,1.2709115566957125,1.2706717407452528,-0.0001886960183785321
9,2.4305234488960976,3.3770186279346475,2.9037710384153725,1.0565294173138846,1.05593157426606,2.8349225268176426,2.8349225268176426,0.0,1.1633971832384569,1.162060453409787,-0.001148988366078898
10,3.3770186279346475,35.54231227651967,19.459665452227156,0.03108940993747125,0.031101314780953924,3.8504171632896345,3.8504171632896345,0.0,0.9547609357967228,0.9537558687167197,-0.0010526897805725988
