dt,energy,conservative_stderr,case_id,run_name,result_schema_version,run_id,bundle_sha256,run_status,energy_status,energy_publication_accepted,energy_publication_status,energy_status_basis,source_energy_publication_accepted,source_energy_publication_status,energy_assessment_manifest_sha256,energy_assessment_run_id,seed_count,seeds,summary_path,summary_sha256,manifest_path,manifest_sha256,manifest_verification,local_acceptance_fraction_mean,invalid_proposal_fraction_max,metropolis_rejection_fraction_max,configuration_esjd_mean,log_weight_span_max,rhat_energy,neff_energy,population_weight_status
0.0025,238.80537962459675,7.88659084338527e-05,N20_A0.1,dmc_benchmark_packet,dmc_benchmark_packet_v3,dmc_benchmark_packet_2026-07-15T00:39:43Z_aa2254e83658,6b0dccf37b9f0ad48f8210bc3380c1a7e1295854e4d5ccc7dfb3ae42e01b204f,accepted,accepted,True,accepted_with_precision_warning,source_summary,True,accepted_with_precision_warning,,,5,"7001,7002,7003,7004,7005",/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/final_matrix/thesis_5seed_all_optimized_v1/N20_A0.1/summary.json,4075979b01391a26bda30989e475a697d7a6312597d9a12d7f9c8d8cb336312a,/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/final_matrix/thesis_5seed_all_optimized_v1/N20_A0.1/run_manifest.json,b5f20670a78452329d947dcab3bbb4d84cd57117f1b3441b82d86252eead1c9f,verified,0.9317245727539063,0.019140625,0.080078125,0.04737622908900996,6.029729642343192,1.0002899260897036,943.732885277253,accepted
0.005,238.80546109780553,0.00023218752202916262,N20_A0.1,dmc_trapped_stationarity_grid,dmc_trapped_stationarity_grid_v2,dmc_trapped_stationarity_grid_2026-07-16T10:52:13Z_55f8a0bf3e53,c3b850966b9c148baece0149918324b8a69bbd142600bfff05f67c28408d12fe,accepted_with_warnings,blocking_plateau_unresolved_correlated_error_available,True,accepted_with_precision_warning,source_summary,True,accepted_with_precision_warning,,,3,"10301,10302,10303",/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/timestep_energy_v1/N20_A0.1/dt_0.005_seeds10301_10303_tau60/summary.json,be8791dcb1206f50dda7e09adef0c1fa633bc973de5c24a5b13d6031f7e1ba1c,/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/timestep_energy_v1/N20_A0.1/dt_0.005_seeds10301_10303_tau60/run_manifest.json,2b6ebfc3d1415894d4291864ed583645245fedf88db478b173558cd0dce896de,verified,0.8512735460069445,0.04765625,0.15546875,0.0874832561248395,2.6003578682788877,1.0065442579940536,110.18994652755374,accepted
0.01,238.8049562111769,0.0003669383221896118,N20_A0.1,dmc_trapped_stationarity_grid,dmc_trapped_stationarity_grid_v2,dmc_trapped_stationarity_grid_2026-07-16T08:29:41Z_4663ac3495bf,9748cd0e76fc92d039d1c12ebc7d8373f667804300d6523340b4801342a3c7fe,accepted_with_warnings,blocking_plateau_unresolved_correlated_error_available,True,accepted_with_precision_warning,source_summary,True,accepted_with_precision_warning,,,3,"8101,8102,8103",/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/calibration/acceptance_dmc_ladder_v1/N20_A0.1/dt_0.01_seeds8101_8103_tau20/summary.json,e0b40d2e51d06eb9776978009698a43e8bda86686d15d8a68ba21b8a3e74f643,/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/calibration/acceptance_dmc_ladder_v1/N20_A0.1/dt_0.01_seeds8101_8103_tau20/run_manifest.json,7da985365039ec56517595fcf836979feaef8de2e92e4e794eb46d78e939c838,verified,0.6929700520833334,0.119140625,0.302734375,0.14404462212224953,1.6948965229243895,1.0273830390614744,37.39076406744873,accepted
0.02,238.80339855402926,0.0003360809279974559,N20_A0.1,dmc_trapped_stationarity_grid,dmc_trapped_stationarity_grid_v2,dmc_trapped_stationarity_grid_2026-07-16T10:52:57Z_5549d59feaf8,8ef7cd404f29fab1cbd9177f08a86ca26cc846790fe3b847a22918ab111d5c67,accepted_with_warnings,blocking_plateau_unresolved_correlated_error_available,True,accepted_with_precision_warning,source_summary,True,accepted_with_precision_warning,,,3,"10311,10312,10313",/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/timestep_energy_v1/N20_A0.1/dt_0.02_seeds10311_10313_tau60/summary.json,f7daf9c78da96b7331925986d2de9eb338f3bb52e5f30428c337421ccb258a17,/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/timestep_energy_v1/N20_A0.1/dt_0.02_seeds10311_10313_tau60/run_manifest.json,a224e07bc13ba28faa854f5bbba48f2b3c9f1775675459078af62f5b5682cc22,verified,0.42417230902777775,0.328125,0.47265625,0.1760577480850907,3.3024490327799025,1.0055887830551007,48.005334799296655,accepted
