comparison,treatment_role,timestep,reference_fine_dt,coarse_dt,selected_dt,selected_dt_basis,is_selected_treatment,first_walkers,second_walkers,mean_difference,paired_standard_error,source_run_quadrature_standard_error,worst_case_arbitrary_covariance_standard_error_envelope,conservative_standard_error,upper_allowance,reporting_resolution,bounded_below_reporting_resolution,classification
reference_fine_last_doubling,reference_fine,0.005,0.005,0.01,0.01,explicit_selected_dt,False,512,1024,-0.0007119041358312946,0.00013597418277270636,0.0009518279815841343,0.0013183328677278026,0.0009518279815841343,0.00480728939904619,0.01,True,accepted_finite_population_bound
coarse_last_doubling,coarse,0.01,0.005,0.01,0.01,explicit_selected_dt,True,512,1024,-0.0012818963374835828,0.0008098199141662446,0.001089060594640563,0.0015338578774672176,0.001089060594640563,0.005967745877876373,0.01,True,accepted_finite_population_bound
timestep_population_interaction,cross_timestep,,0.005,0.01,0.01,explicit_selected_dt,,512,1024,-0.0005699922016522881,0.0008211560581040179,0.0014463849713424789,0.0028521907451950204,0.0014463849713424789,0.006793284446867602,0.01,True,accepted
