dt,walkers,energy,conservative_stderr,case_id,run_name,result_schema_version,run_id,bundle_sha256,run_status,energy_status,energy_publication_accepted,energy_publication_status,energy_status_basis,source_energy_publication_accepted,source_energy_publication_status,seed_count,seeds,summary_path,summary_sha256,manifest_path,manifest_sha256,manifest_verification,local_acceptance_fraction_mean,invalid_proposal_fraction_max,metropolis_rejection_fraction_max,configuration_esjd_mean,log_weight_span_max,rhat_energy,neff_energy,population_weight_status
0.005,512,146.83684997033546,0.0007951365251722863,N10_A1,dmc_trapped_stationarity_grid,dmc_trapped_stationarity_grid_v2,dmc_trapped_stationarity_grid_2026-07-16T10:33:19Z_c153d28b146d,925fa6e79f521c43902d9e2bc7a700f19db3e3af13d4631c60ee1ae9c3216f8b,accepted_with_warnings,blocking_plateau_unresolved_correlated_error_available,True,accepted_with_precision_warning,retrospective_population_stationarity_assessment,True,accepted_with_precision_warning,3,"10111,10112,10113",/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/timestep_energy_v1/N10_A1/dt_0.005_seeds10111_10113_tau60/summary.json,57f2eb3011ccf8db3d403bde2a2beaabb1e11638295716734a9f4f27a6144a8d,/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/timestep_energy_v1/N10_A1/dt_0.005_seeds10111_10113_tau60/run_manifest.json,e0f30c2ab774e0857c098b5508b1ced75d3bfd76bbc7c6b940f3dd5a728d9150,verified,0.9381844618055556,0.016015625,0.0703125,0.0479463000641193,6.0708090664672145,1.0049906081261244,152.28777054609876,accepted
0.005,1024,146.83613806619962,0.0005231963425555164,N10_A1,dmc_trapped_stationarity_grid,dmc_trapped_stationarity_grid_v2,dmc_trapped_stationarity_grid_2026-07-16T11:54:39Z_806c6b357879,dc6240d8006e64556f565f9b3986a50426d3522d9041c7b7b4f552c13c067139,accepted_with_warnings,blocking_plateau_unresolved_correlated_error_available,True,accepted_with_precision_warning,retrospective_population_stationarity_assessment,True,accepted_with_precision_warning,3,"10111,10112,10113",/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/population_energy_v1/N10_A1/dt_0.005_W1024_seeds10111_10113_tau60/summary.json,923403043be8e007f3872666f2b11a0ebbcdad67a12eaebd555b1996457b76cb,/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/population_energy_v1/N10_A1/dt_0.005_W1024_seeds10111_10113_tau60/run_manifest.json,634118a7db0862b63ed66a2e913631509516a4d1a29ece650de5cc1640868c92,verified,0.9381998969184028,0.0138671875,0.06484375,0.047955786599490256,6.88243118023181,1.0013938619472214,157.00244199035777,accepted
0.01,512,146.83755221128834,0.0008365456919785618,N10_A1,dmc_trapped_stationarity_grid,dmc_trapped_stationarity_grid_v2,dmc_trapped_stationarity_grid_2026-07-16T10:33:59Z_5c60b37c5538,c8c2d321beee27a7566e40108db290370538bc27d2c05be2ac634bb9a9822e97,accepted_with_warnings,blocking_plateau_unresolved_correlated_error_available,True,accepted_with_precision_warning,retrospective_population_stationarity_assessment,True,accepted_with_precision_warning,3,"10121,10122,10123",/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/timestep_energy_v1/N10_A1/dt_0.01_seeds10121_10123_tau60/summary.json,d67f0e32efdc85310bd666e983917ac2b3ee3fdf423bc4825f18eb67ca1c3a6a,/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/timestep_energy_v1/N10_A1/dt_0.01_seeds10121_10123_tau60/run_manifest.json,03d57f40351d25957579aa0b9406dd225c701e6e7a358b0de185fa408e907b64,verified,0.8636041666666667,0.048828125,0.1484375,0.08926056879008154,7.243786336536835,1.002565111837574,163.51915571916734,accepted
0.01,1024,146.83627031495087,0.0006973121854886559,N10_A1,dmc_trapped_stationarity_grid,dmc_trapped_stationarity_grid_v2,dmc_trapped_stationarity_grid_2026-07-16T11:50:29Z_7952c51fe241,c2fc5b9268776b66daa02619bd621f74ee526fa09f1b0e162a9355eab95eb35b,accepted_with_warnings,blocking_plateau_unresolved_correlated_error_available,True,accepted_with_precision_warning,retrospective_population_stationarity_assessment,True,accepted_with_precision_warning,3,"10121,10122,10123",/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/population_energy_v1/N10_A1/dt_0.01_W1024_seeds10121_10123_tau60/summary.json,fd766219238a444c1fdf84778c3c8ecfaef0617fac09d2ba89d591cf5611f261,/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/population_energy_v1/N10_A1/dt_0.01_W1024_seeds10121_10123_tau60/run_manifest.json,29af854e4465a51c6246049751b99ec6fcd28fe002157abad01b7e05375c4cfe,verified,0.8638077256944445,0.03955078125,0.1376953125,0.08927200230305703,6.514625009253645,1.0037150090300104,141.77493940891623,accepted
