shell_cell,left,right,center,anchor_envelope,candidate_envelope,anchor_peak_position,candidate_peak_position,peak_position_shift_in_cell_widths,anchor_peak_amplitude,candidate_peak_amplitude,peak_amplitude_relative_difference
1,-36.042908224076285,-5.777995016768517,-20.9104516204224,0.03304156179633582,0.03308447318756948,-6.221692491060786,-6.221692491060786,0.0,1.0869647644591023,1.0809791369095656,-0.005506735586332707
2,-5.777995016768517,-4.959428443364739,-5.368711730066628,1.2216477345779975,1.2188159185674858,-5.277711561382598,-5.277711561382598,0.0,1.3441762229592515,1.3394549768303003,-0.003512371405110265
3,-4.959428443364739,-4.24132162794558,-4.600375035655159,1.392550493224745,1.3909945552592702,-4.591179976162096,-4.591179976162096,0.0,1.4955583174998088,1.4927306739540094,-0.0018906942729766292
4,-4.24132162794558,-3.5763013234400995,-3.90881147569284,1.5037134854756284,1.5017890270087888,-3.9046483909415954,-3.9046483909415954,0.0,1.599407741766856,1.5957200286102675,-0.0023056741944456585
5,-3.5763013234400995,-2.9439314158597365,-3.260116369649918,1.58135292020188,1.580273861107048,-3.2181168057210954,-3.2181168057210954,0.0,1.6708541223582003,1.6692596827893826,-0.0009542661729004276
6,-2.9439314158597365,-2.3338810953993594,-2.638906255629548,1.6392090397483041,1.6389614280438984,-2.6174016686531587,-2.6174016686531587,0.0,1.7289495269987545,1.72790215291014,-0.0006057863877800202
7,-2.3338810953993594,-1.7387481608600255,-2.036314628129692,1.6802968580020794,1.6812249452482786,-2.016686531585222,-2.016686531585222,0.0,1.7684482983019343,1.7687311388720588,0.00015993714399006935
8,-1.7387481608600255,-1.1539091625822937,-1.4463286617211595,1.7098722946740192,1.7120888113261612,-1.41597139451728,-1.41597139451728,0.0,1.794341548440245,1.7964590788159793,0.001180115556915604
9,-1.1539091625822937,-0.5755457736914782,-0.864727468136886,1.7290167725135552,1.7310829090098994,-0.901072705601905,-0.901072705601905,0.0,1.8083633937268275,1.809387592069126,0.0005663675486085487
10,-0.5755457736914782,-1.27675647831893e-15,-0.28777288684573976,1.7374812668436919,1.7395771135929763,-0.30035756853396833,-0.30035756853396833,0.0,1.823794627780547,1.8250662761110121,0.0006972541266955241
11,-1.27675647831893e-15,0.5755457736914753,0.287772886845737,1.7374812668436925,1.739577113592977,0.30035756853396833,0.30035756853396833,0.0,1.823794627780547,1.8250662761110121,0.0006972541266955241
12,0.5755457736914753,1.1539091625822921,0.8647274681368837,1.7290167725135512,1.731082909009897,0.9010727056019068,0.9010727056019068,0.0,1.8083633937268275,1.809387592069126,0.0005663675486085487
13,1.1539091625822921,1.7387481608600215,1.4463286617211568,1.7098722946740263,1.7120888113261654,1.4159713945172854,1.4159713945172854,0.0,1.794341548440245,1.7964590788159793,0.001180115556915604
14,1.7387481608600215,2.3338810953993554,2.0363146281296887,1.6802968580020794,1.6812249452482801,2.016686531585222,2.016686531585222,0.0,1.7684482983019343,1.7687311388720588,0.00015993714399006935
15,2.3338810953993554,2.9439314158597316,2.6389062556295437,1.6392090397483066,1.638961428043905,2.6174016686531587,2.6174016686531587,0.0,1.7289495269987545,1.72790215291014,-0.0006057863877800202
16,2.9439314158597316,3.5763013234400955,3.2601163696499134,1.5813529202018777,1.5802738611070493,3.2181168057210954,3.2181168057210954,0.0,1.6708541223582003,1.6692596827893826,-0.0009542661729004276
17,3.5763013234400955,4.2413216279455765,3.9088114756928363,1.5037134854756276,1.5017890270087932,3.904648390941597,3.904648390941597,0.0,1.599407741766856,1.5957200286102675,-0.0023056741944456585
18,4.2413216279455765,4.959428443364733,4.600375035655155,1.3925504932247483,1.39099455525927,4.591179976162097,4.591179976162097,0.0,1.4955583174998088,1.4927306739540094,-0.0018906942729766292
19,4.959428443364733,5.7779950167685135,5.368711730066623,1.221647734577995,1.2188159185674936,5.277711561382601,5.277711561382601,0.0,1.3441762229592515,1.3394549768303003,-0.003512371405110265
20,5.7779950167685135,36.042908224076285,20.9104516204224,0.03304156179633629,0.03308447318756958,6.221692491060786,6.221692491060786,0.0,1.0869647644591023,1.0809791369095656,-0.005506735586332707
