q_left,q_right,q_center,n_fw,n_fw_sem,n_fw_seed_7001,n_fw_seed_7002,n_fw_seed_7003,n_fw_seed_7004,n_fw_seed_7005
-40.047675804529206,-39.952324195470794,-40,0,0,0,0,0,0,0
-39.952324195470794,-39.856972586412397,-39.904648390941595,0,0,0,0,0,0,0
-39.856972586412397,-39.761620977353992,-39.809296781883191,0,0,0,0,0,0,0
-39.761620977353992,-39.666269368295588,-39.713945172824793,0,0,0,0,0,0,0
-39.666269368295588,-39.57091775923719,-39.618593563766389,0,0,0,0,0,0,0
-39.57091775923719,-39.475566150178778,-39.523241954707984,0,0,0,0,0,0,0
-39.475566150178778,-39.380214541120381,-39.42789034564958,0,0,0,0,0,0,0
-39.380214541120381,-39.284862932061984,-39.332538736591182,0,0,0,0,0,0,0
-39.284862932061984,-39.189511323003572,-39.237187127532778,0,0,0,0,0,0,0
-39.189511323003572,-39.094159713945174,-39.141835518474373,0,0,0,0,0,0,0
-39.094159713945174,-38.99880810488677,-39.046483909415969,0,0,0,0,0,0,0
-38.99880810488677,-38.903456495828365,-38.951132300357571,0,0,0,0,0,0,0
-38.903456495828365,-38.808104886769968,-38.855780691299167,0,0,0,0,0,0,0
-38.808104886769968,-38.712753277711556,-38.760429082240762,0,0,0,0,0,0,0
-38.712753277711556,-38.617401668653159,-38.665077473182357,0,0,0,0,0,0,0
-38.617401668653159,-38.522050059594761,-38.56972586412396,0,0,0,0,0,0,0
-38.522050059594761,-38.42669845053635,-38.474374255065555,0,0,0,0,0,0,0
-38.42669845053635,-38.331346841477952,-38.379022646007151,0,0,0,0,0,0,0
-38.331346841477952,-38.235995232419548,-38.283671036948746,0,0,0,0,0,0,0
-38.235995232419548,-38.140643623361143,-38.188319427890349,0,0,0,0,0,0,0
-38.140643623361143,-38.045292014302746,-38.092967818831944,0,0,0,0,0,0,0
-38.045292014302746,-37.949940405244334,-37.99761620977354,0,0,0,0,0,0,0
-37.949940405244334,-37.854588796185936,-37.902264600715135,0,0,0,0,0,0,0
-37.854588796185936,-37.759237187127532,-37.806912991656731,0,0,0,0,0,0,0
-37.759237187127532,-37.663885578069127,-37.711561382598333,0,0,0,0,0,0,0
-37.663885578069127,-37.56853396901073,-37.616209773539929,0,0,0,0,0,0,0
-37.56853396901073,-37.473182359952325,-37.520858164481524,0,0,0,0,0,0,0
-37.473182359952325,-37.377830750893921,-37.425506555423127,0,0,0,0,0,0,0
-37.377830750893921,-37.282479141835523,-37.330154946364722,0,0,0,0,0,0,0
-37.282479141835523,-37.187127532777112,-37.234803337306317,0,0,0,0,0,0,0
-37.187127532777112,-37.091775923718714,-37.139451728247913,0,0,0,0,0,0,0
-37.091775923718714,-36.99642431466031,-37.044100119189508,0,0,0,0,0,0,0
-36.99642431466031,-36.901072705601905,-36.948748510131111,0,0,0,0,0,0,0
-36.901072705601905,-36.805721096543508,-36.853396901072706,0,0,0,0,0,0,0
-36.805721096543508,-36.710369487485096,-36.758045292014302,0,0,0,0,0,0,0
-36.710369487485096,-36.615017878426698,-36.662693682955897,0,0,0,0,0,0,0
-36.615017878426698,-36.519666269368301,-36.5673420738975,0,0,0,0,0,0,0
-36.519666269368301,-36.424314660309889,-36.471990464839095,0,0,0,0,0,0,0
-36.424314660309889,-36.328963051251492,-36.376638855780691,0,0,0,0,0,0,0
-36.328963051251492,-36.233611442193087,-36.281287246722286,0,0,0,0,0,0,0
-36.233611442193087,-36.138259833134683,-36.185935637663889,0,0,0,0,0,0,0
-36.138259833134683,-36.042908224076285,-36.090584028605484,0,0,0,0,0,0,0
-36.042908224076285,-35.947556615017874,-35.995232419547079,0,0,0,0,0,0,0
-35.947556615017874,-35.852205005959476,-35.899880810488675,0,0,0,0,0,0,0
-35.852205005959476,-35.756853396901079,-35.804529201430277,0,0,0,0,0,0,0
-35.756853396901079,-35.661501787842667,-35.709177592371873,0,0,0,0,0,0,0
-35.661501787842667,-35.56615017878427,-35.613825983313468,0,0,0,0,0,0,0
-35.56615017878427,-35.470798569725865,-35.518474374255064,0,0,0,0,0,0,0
-35.470798569725865,-35.37544696066746,-35.423122765196666,0,0,0,0,0,0,0
-35.37544696066746,-35.280095351609063,-35.327771156138262,0,0,0,0,0,0,0
-35.280095351609063,-35.184743742550651,-35.232419547079857,0,0,0,0,0,0,0
-35.184743742550651,-35.089392133492254,-35.137067938021453,0,0,0,0,0,0,0
-35.089392133492254,-34.994040524433849,-35.041716328963048,0,0,0,0,0,0,0
-34.994040524433849,-34.898688915375445,-34.946364719904651,0,0,0,0,0,0,0
-34.898688915375445,-34.803337306317047,-34.851013110846246,0,0,0,0,0,0,0
-34.803337306317047,-34.707985697258643,-34.755661501787841,0,0,0,0,0,0,0
-34.707985697258643,-34.612634088200238,-34.660309892729444,0,0,0,0,0,0,0
-34.612634088200238,-34.517282479141841,-34.564958283671039,0,0,0,0,0,0,0
-34.517282479141841,-34.421930870083429,-34.469606674612635,0,0,0,0,0,0,0
-34.421930870083429,-34.326579261025032,-34.37425506555423,0,0,0,0,0,0,0
-34.326579261025032,-34.231227651966627,-34.278903456495826,0,0,0,0,0,0,0
-34.231227651966627,-34.135876042908222,-34.183551847437428,0,0,0,0,0,0,0
-34.135876042908222,-34.040524433849825,-34.088200238379024,0,0,0,0,0,0,0
-34.040524433849825,-33.945172824791413,-33.992848629320619,0,0,0,0,0,0,0
-33.945172824791413,-33.849821215733016,-33.897497020262215,0,0,0,0,0,0,0
-33.849821215733016,-33.754469606674618,-33.802145411203817,0,0,0,0,0,0,0
-33.754469606674618,-33.659117997616207,-33.706793802145413,0,0,0,0,0,0,0
-33.659117997616207,-33.563766388557809,-33.611442193087008,0,0,0,0,0,0,0
-33.563766388557809,-33.468414779499405,-33.516090584028603,0,0,0,0,0,0,0
-33.468414779499405,-33.373063170441,-33.420738974970206,0,0,0,0,0,0,0
