q,n_lda
-12.482121573301548,0
-12.397497020262215,0
-12.312872467222885,0
-12.228247914183552,0
-12.143623361144218,0
-12.058998808104885,0
-11.974374255065552,0
-11.889749702026222,0
-11.805125148986889,0
-11.720500595947556,0
-11.635876042908222,0
-11.551251489868889,0
-11.466626936829559,0
-11.382002383790226,0
-11.297377830750893,0
-11.21275327771156,0
-11.128128724672226,0
-11.043504171632897,0
-10.958879618593564,0
-10.87425506555423,0
-10.789630512514897,0
-10.705005959475564,0
-10.620381406436234,0
-10.535756853396901,0
-10.451132300357568,0
-10.366507747318234,0
-10.281883194278901,0
-10.197258641239571,0
-10.112634088200238,0
-10.028009535160905,0
-9.9433849821215716,0
-9.8587604290822384,0
-9.7741358760429087,0
-9.6895113230035754,0
-9.6048867699642422,0
-9.5202622169249089,0
-9.4356376638855757,0
-9.351013110846246,0
-9.2663885578069127,0
-9.1817640047675795,0
-9.0971394517282462,0
-9.012514898688913,0
-8.9278903456495833,0
-8.84326579261025,0
-8.7586412395709168,0
-8.6740166865315835,0
-8.5893921334922503,0
-8.5047675804529206,0
-8.4201430274135873,0
-8.3355184743742541,0
-8.2508939213349208,0
-8.1662693682955876,0
-8.0816448152562579,0
-7.9970202622169246,0
-7.9123957091775914,0
-7.8277711561382581,0
-7.7431466030989249,0
-7.6585220500595952,0
-7.5738974970202619,0
-7.4892729439809287,0
-7.4046483909415954,0
-7.3200238379022622,0
-7.2353992848629325,0
-7.1507747318235992,0
-7.066150178784266,0
-6.9815256257449327,0
-6.8969010727055995,0
-6.8122765196662698,0
-6.7276519666269365,0
-6.6430274135876033,0
-6.55840286054827,0
-6.4737783075089368,0
-6.3891537544696071,0
-6.3045292014302738,0
-6.2199046483909406,0
-6.1352800953516073,0
-6.0506555423122741,0
-5.9660309892729444,0
-5.8814064362336111,0
-5.7967818831942779,0
-5.7121573301549446,0
-5.6275327771156114,0
-5.5429082240762817,0
-5.4582836710369484,0
-5.3736591179976152,0
-5.2890345649582819,0
-5.2044100119189487,0
-5.119785458879619,0
-5.0351609058402857,0
-4.9505363528009525,0
-4.8659117997616192,0
-4.781287246722286,0.22945354161947534
-4.6966626936829563,0.35314620072028546
-4.6120381406436231,0.43882605346822878
-4.5274135876042898,0.5070519650615728
-4.4427890345649566,0.5646170998778588
-4.3581644815256233,0.61478240082350877
-4.2735399284862936,0.65941396951074482
-4.1889153754469604,0.69969866416044391
-4.1042908224076271,0.73644704585603171
-4.0196662693682939,0.77024191751774351
-3.9350417163289606,0.80151898636358165
-3.8504171632896309,0.83061411055154233
-3.7657926102502977,0.85779264188032878
-3.6811680572109644,0.88326852144176926
-3.5965435041716312,0.90721719123961542
-3.5119189511322979,0.9297846074417655
-3.4272943980929682,0.9510937046581962
-3.342669845053635,0.9712491409311399
-3.2580452920143017,0.99034085155266349
-3.1734207389749685,1.0084467581282195
-3.0887961859356352,1.0256348661209711
-3.004171632896302,1.0419649116033618
-2.9195470798569687,1.0574896702359986
-2.8349225268176355,1.0722560094688909
-2.7502979737783093,1.0863057429071326
-2.6656734207389761,1.0996763304490176
-2.5810488676996428,1.1124014568508644
-2.4964243146603096,1.1245115135028416
-2.4117997616209763,1.1360340024259474
-2.3271752085816431,1.1469938772302046
