q_left,q_right,q_center,n_fw,n_fw_sem,n_fw_seed_7001,n_fw_seed_7002,n_fw_seed_7003,n_fw_seed_7004,n_fw_seed_7005
-353.61499505090501,-353.51500494909499,-353.565,0,0,0,0,0,0,0
-353.51500494909499,-353.41501484728508,-353.46500989819003,0,0,0,0,0,0,0
-353.41501484728508,-353.31502474547511,-353.36501979638012,0,0,0,0,0,0,0
-353.31502474547511,-353.21503464366515,-353.2650296945701,0,0,0,0,0,0,0
-353.21503464366515,-353.11504454185524,-353.16503959276019,0,0,0,0,0,0,0
-353.11504454185524,-353.01505444004522,-353.06504949095023,0,0,0,0,0,0,0
-353.01505444004522,-352.91506433823531,-352.96505938914027,0,0,0,0,0,0,0
-352.91506433823531,-352.81507423642529,-352.8650692873303,0,0,0,0,0,0,0
-352.81507423642529,-352.71508413461538,-352.76507918552034,0,0,0,0,0,0,0
-352.71508413461538,-352.61509403280547,-352.66508908371043,0,0,0,0,0,0,0
-352.61509403280547,-352.51510393099545,-352.56509898190046,0,0,0,0,0,0,0
-352.51510393099545,-352.41511382918554,-352.4651088800905,0,0,0,0,0,0,0
-352.41511382918554,-352.31512372737552,-352.36511877828053,0,0,0,0,0,0,0
-352.31512372737552,-352.21513362556561,-352.26512867647057,0,0,0,0,0,0,0
-352.21513362556561,-352.11514352375571,-352.16513857466066,0,0,0,0,0,0,0
-352.11514352375571,-352.01515342194568,-352.06514847285069,0,0,0,0,0,0,0
-352.01515342194568,-351.91516332013578,-351.96515837104073,0,0,0,0,0,0,0
-351.91516332013578,-351.81517321832575,-351.86516826923076,0,0,0,0,0,0,0
-351.81517321832575,-351.71518311651585,-351.7651781674208,0,0,0,0,0,0,0
-351.71518311651585,-351.61519301470588,-351.66518806561089,0,0,0,0,0,0,0
-351.61519301470588,-351.51520291289592,-351.56519796380087,0,0,0,0,0,0,0
-351.51520291289592,-351.41521281108601,-351.46520786199096,0,0,0,0,0,0,0
-351.41521281108601,-351.31522270927599,-351.365217760181,0,0,0,0,0,0,0
-351.31522270927599,-351.21523260746608,-351.26522765837103,0,0,0,0,0,0,0
-351.21523260746608,-351.11524250565606,-351.16523755656107,0,0,0,0,0,0,0
-351.11524250565606,-351.01525240384615,-351.0652474547511,0,0,0,0,0,0,0
-351.01525240384615,-350.91526230203624,-350.96525735294119,0,0,0,0,0,0,0
-350.91526230203624,-350.81527220022622,-350.86526725113123,0,0,0,0,0,0,0
-350.81527220022622,-350.71528209841631,-350.76527714932126,0,0,0,0,0,0,0
