q,n_lda
-36,0
-35.914183551847437,0
-35.828367103694873,0
-35.74255065554231,0
-35.656734207389746,0
-35.57091775923719,0
-35.485101311084627,0
-35.399284862932063,0
-35.3134684147795,0
-35.227651966626937,0
-35.141835518474373,0
-35.05601907032181,0
-34.970202622169246,0
-34.884386174016683,0
-34.798569725864127,0
-34.712753277711563,0
-34.626936829559,0
-34.541120381406436,0
-34.455303933253873,0
-34.36948748510131,0
-34.283671036948746,0
-34.197854588796183,0
-34.112038140643627,0
-34.026221692491063,0
-33.9404052443385,0
-33.854588796185936,0
-33.768772348033373,0
-33.68295589988081,0
-33.597139451728246,0
-33.511323003575683,0
-33.425506555423119,0
-33.339690107270563,0
-33.253873659118,0
-33.168057210965436,0
-33.082240762812873,0
-32.99642431466031,0
-32.910607866507746,0
-32.824791418355183,0
-32.738974970202619,0
-32.653158522050063,0
-32.5673420738975,0
-32.481525625744936,0
-32.395709177592373,0
-32.30989272943981,0
-32.224076281287246,0
-32.138259833134683,0
-32.052443384982119,0
-31.966626936829559,0
-31.880810488676996,0
-31.794994040524433,0
-31.709177592371873,0
-31.623361144219309,0
-31.537544696066746,0
-31.451728247914183,0
-31.365911799761619,0
-31.280095351609059,0
-31.194278903456496,0
-31.108462455303933,0
-31.022646007151369,0
-30.936829558998809,0
-30.851013110846246,0
-30.765196662693683,0
-30.679380214541119,0
-30.593563766388556,0
-30.507747318235996,0
-30.421930870083433,0
-30.336114421930869,0
-30.250297973778309,0
-30.164481525625746,0
-30.078665077473183,0
-29.992848629320619,0
-29.907032181168056,0
-29.821215733015492,0
-29.735399284862932,0
-29.649582836710369,0
-29.563766388557806,0
-29.477949940405246,0
-29.392133492252682,0
-29.306317044100119,0
-29.220500595947556,0
-29.134684147794992,0
-29.048867699642432,0
-28.963051251489869,0
-28.877234803337306,0
-28.791418355184742,0
-28.705601907032182,0
-28.619785458879619,0
-28.533969010727056,0
-28.448152562574492,0
-28.362336114421929,0
-28.276519666269369,0
-28.190703218116806,0
-28.104886769964242,0
-28.019070321811682,0
-27.933253873659119,0
-27.847437425506556,0
-27.761620977353992,0
-27.675804529201429,0
-27.589988081048865,0
-27.504171632896306,0
-27.418355184743742,0
-27.332538736591182,0
-27.246722288438619,0
-27.160905840286055,0
-27.075089392133492,0
-26.989272943980929,0
-26.903456495828365,0
-26.817640047675802,0
-26.731823599523242,0
-26.646007151370679,0
-26.560190703218119,0
-26.474374255065555,0
-26.388557806912992,0
-26.302741358760429,0
-26.216924910607865,0
-26.131108462455302,0
-26.045292014302738,0
-25.959475566150179,0
-25.873659117997615,0
-25.787842669845055,0
-25.702026221692492,0
-25.616209773539929,0
-25.530393325387365,0
-25.444576877234802,0
-25.358760429082238,0
-25.272943980929679,0
-25.187127532777115,0
-25.101311084624555,0
-25.015494636471992,0
-24.929678188319429,0
-24.843861740166865,0
-24.758045292014302,0
-24.672228843861738,0
-24.586412395709175,0
-24.500595947556615,0
-24.414779499404052,0
-24.328963051251492,0
-24.243146603098928,0
-24.157330154946365,0
-24.071513706793802,0
-23.985697258641238,0
-23.899880810488675,0
-23.814064362336111,0
-23.728247914183552,0
-23.642431466030988,0
-23.556615017878428,0
-23.470798569725865,0
-23.384982121573302,0
-23.299165673420738,0
-23.213349225268175,0
-23.127532777115611,0
-23.041716328963052,0
-22.955899880810488,0
-22.870083432657928,0
-22.784266984505365,0
-22.698450536352802,0
-22.612634088200238,0
-22.526817640047675,0
-22.441001191895111,0
-22.355184743742548,0
-22.269368295589988,0
-22.183551847437425,0
-22.097735399284865,0
-22.011918951132301,0
-21.926102502979738,0
-21.840286054827175,0
-21.754469606674611,0
-21.668653158522048,0
-21.582836710369484,0
-21.497020262216925,0
-21.411203814064361,0
-21.325387365911801,0
-21.239570917759238,0
-21.153754469606675,0
