q,n_lda
-178.87100000000001,0
-178.77101621017329,0
-178.67103242034656,0
-178.57104863051984,0
-178.47106484069315,0
-178.37108105086642,0
-178.2710972610397,0
-178.17111347121298,0
-178.07112968138625,0
-177.97114589155953,0
-177.87116210173281,0
-177.77117831190611,0
-177.67119452207939,0
-177.57121073225267,0
-177.47122694242594,0
-177.37124315259922,0
-177.2712593627725,0
-177.1712755729458,0
-177.07129178311908,0
-176.97130799329236,0
-176.87132420346563,0
-176.77134041363891,0
-176.67135662381219,0
-176.57137283398546,0
-176.47138904415877,0
-176.37140525433205,0
-176.27142146450532,0
-176.1714376746786,0
-176.07145388485188,0
-175.97147009502515,0
-175.87148630519843,0
-175.77150251537174,0
-175.67151872554501,0
-175.57153493571829,0
-175.47155114589157,0
-175.37156735606484,0
-175.27158356623812,0
-175.17159977641143,0
-175.0716159865847,0
-174.97163219675798,0
-174.87164840693126,0
-174.77166461710453,0
-174.67168082727781,0
-174.57169703745109,0
-174.47171324762439,0
-174.37172945779767,0
-174.27174566797095,0
-174.17176187814422,0
-174.0717780883175,0
-173.97179429849078,0
-173.87181050866405,0
-173.77182671883736,0
-173.67184292901064,0
-173.57185913918391,0
-173.47187534935719,0
-173.37189155953047,0
-173.27190776970374,0
-173.17192397987702,0
-173.07194019005033,0
-172.9719564002236,0
-172.87197261039688,0
-172.77198882057016,0
-172.67200503074343,0
-172.57202124091671,0
-172.47203745109002,0
-172.37205366126329,0
-172.27206987143657,0
-172.17208608160985,0
-172.07210229178312,0
-171.9721185019564,0
-171.87213471212968,0
-171.77215092230298,0
-171.67216713247626,0
-171.57218334264954,0
-171.47219955282281,0
-171.37221576299609,0
-171.27223197316937,0
-171.17224818334265,0
-171.07226439351595,0
-170.97228060368923,0
-170.8722968138625,0
-170.77231302403578,0
-170.67232923420906,0
-170.57234544438234,0
-170.47236165455564,0
-170.37237786472892,0
-170.27239407490219,0
-170.17241028507547,0
-170.07242649524875,0
-169.97244270542203,0
-169.8724589155953,0
-169.77247512576861,0
-169.67249133594188,0
-169.57250754611516,0
-169.47252375628844,0
-169.37253996646172,0
-169.27255617663499,0
-169.17257238680827,0
-169.07258859698157,0
-168.97260480715485,0
-168.87262101732813,0
-168.77263722750141,0
-168.67265343767468,0
-168.57266964784796,0
-168.47268585802124,0
-168.37270206819454,0
-168.27271827836782,0
-168.1727344885411,0
-168.07275069871437,0
-167.97276690888765,0
-167.87278311906093,0
-167.7727993292342,0
-167.67281553940751,0
-167.57283174958079,0
-167.47284795975406,0
-167.37286416992734,0
-167.27288038010062,0
-167.17289659027389,0
-167.0729128004472,0
-166.97292901062048,0
-166.87294522079375,0
-166.77296143096703,0
-166.67297764114031,0
-166.57299385131358,0
-166.47301006148686,0
-166.37302627166017,0
-166.27304248183344,0
-166.17305869200672,0
-166.07307490218,0
-165.97309111235327,0
-165.87310732252655,0
-165.77312353269986,0
-165.67313974287313,0
-165.57315595304641,0
-165.47317216321969,0
-165.37318837339296,0
-165.27320458356624,0
-165.17322079373952,0
-165.07323700391282,0
-164.9732532140861,0
-164.87326942425938,0
-164.77328563443265,0
-164.67330184460593,0
-164.57331805477921,0
-164.47333426495248,0
-164.37335047512579,0
-164.27336668529907,0
-164.17338289547234,0
-164.07339910564562,0
-163.9734153158189,0
-163.87343152599217,0
-163.77344773616545,0
-163.67346394633876,0
-163.57348015651203,0
-163.47349636668531,0
-163.37351257685859,0
-163.27352878703186,0
-163.17354499720514,0
-163.07356120737842,0
-162.97357741755172,0
-162.873593627725,0
-162.77360983789828,0
-162.67362604807155,0
-162.57364225824483,0
-162.47365846841811,0
-162.37367467859141,0
-162.27369088876469,0
-162.17370709893797,0
-162.07372330911124,0
-161.97373951928452,0
-161.8737557294578,0
-161.7737719396311,0
-161.67378814980438,0
-161.57380435997766,0
-161.47382057015093,0
-161.37383678032421,0
-161.27385299049749,0
-161.17386920067077,0
-161.07388541084407,0
-160.97390162101735,0
-160.87391783119062,0
-160.7739340413639,0
-160.67395025153718,0
-160.57396646171046,0
-160.47398267188373,0
-160.37399888205704,0
-160.27401509223031,0
-160.17403130240359,0
-160.07404751257687,0
-159.97406372275015,0
-159.87407993292342,0
-159.7740961430967,0
-159.67411235327,0
-159.57412856344328,0
-159.47414477361656,0
-159.37416098378984,0
-159.27417719396311,0
-159.17419340413639,0
-159.07420961430967,0
-158.97422582448297,0
-158.87424203465625,0
-158.77425824482953,0
-158.6742744550028,0
-158.57429066517608,0
-158.47430687534936,0
-158.37432308552263,0
-158.27433929569594,0
-158.17435550586922,0
-158.07437171604249,0
-157.97438792621577,0
-157.87440413638905,0
-157.77442034656232,0
-157.67443655673563,0
-157.57445276690891,0
-157.47446897708218,0
-157.37448518725546,0
-157.27450139742874,0
-157.17451760760201,0
-157.07453381777532,0
-156.9745500279486,0
-156.87456623812187,0
-156.77458244829515,0
-156.67459865846843,0
-156.5746148686417,0
-156.47463107881498,0
-156.37464728898829,0
-156.27466349916156,0
-156.17467970933484,0
-156.07469591950812,0
-155.97471212968139,0
-155.87472833985467,0
-155.77474455002795,0
-155.67476076020125,0
-155.57477697037453,0
-155.47479318054781,0
-155.37480939072108,0
-155.27482560089436,0
-155.17484181106764,0
-155.07485802124091,0
-154.97487423141422,0
-154.8748904415875,0
-154.77490665176077,0
-154.67492286193405,0
-154.57493907210733,0
-154.4749552822806,0
-154.37497149245388,0
-154.27498770262719,0
-154.17500391280046,0
-154.07502012297374,0
-153.97503633314702,0
-153.87505254332029,0
-153.77506875349357,0
-153.67508496366685,0
-153.57510117384015,0
-153.47511738401343,0
-153.37513359418671,0
-153.27514980435998,0
-153.17516601453326,0
-153.07518222470654,0
-152.97519843487984,0
-152.87521464505312,0
-152.7752308552264,0
-152.67524706539967,0
-152.57526327557295,0
-152.47527948574623,0
-152.37529569591953,0
-152.27531190609281,0
-152.17532811626609,0
-152.07534432643936,0
-151.97536053661264,0
-151.87537674678592,0
-151.77539295695919,0
-151.6754091671325,0
-151.57542537730578,0
-151.47544158747905,0
