q,n_lda
-34.622879505664265,0
-34.522957775489189,0
-34.423036045314106,0
-34.32311431513903,0
-34.223192584963954,0
-34.123270854788878,0
-34.023349124613802,0
-33.923427394438718,0
-33.823505664263649,0
-33.723583934088566,0
-33.62366220391349,0
-33.523740473738414,0
-33.423818743563338,0
-33.323897013388262,0
-33.223975283213178,0
-33.124053553038102,0
-33.024131822863026,0
-32.92421009268795,0
-32.824288362512874,0
-32.724366632337798,0
-32.624444902162722,0
-32.524523171987639,0
-32.424601441812563,0
-32.324679711637486,0
-32.22475798146241,0
-32.124836251287334,0
-32.024914521112251,0
-31.924992790937178,0
-31.825071060762102,0
-31.725149330587023,0
-31.625227600411947,0
-31.52530587023687,0
-31.425384140061791,0
-31.325462409886715,0
-31.225540679711639,0
-31.125618949536559,0
-31.025697219361483,0
-30.925775489186407,0
-30.825853759011327,0
-30.725932028836251,0
-30.626010298661175,0
-30.526088568486095,0
-30.426166838311019,0
-30.326245108135943,0
-30.226323377960863,0
-30.126401647785787,0
-30.026479917610711,0
-29.926558187435631,0
-29.826636457260555,0
-29.726714727085479,0
-29.6267929969104,0
-29.526871266735323,0
-29.426949536560247,0
-29.327027806385168,0
-29.227106076210092,0
-29.127184346035015,0
-29.027262615859939,0
-28.92734088568486,0
-28.827419155509784,0
-28.727497425334708,0
-28.627575695159628,0
-28.527653964984552,0
-28.427732234809476,0
-28.327810504634396,0
-28.22788877445932,0
-28.127967044284244,0
-28.028045314109164,0
-27.928123583934088,0
-27.828201853759012,0
-27.728280123583932,0
-27.628358393408856,0
-27.52843666323378,0
-27.4285149330587,0
-27.328593202883624,0
-27.228671472708548,0
-27.128749742533468,0
-27.028828012358392,0
-26.928906282183316,0
-26.828984552008237,0
-26.729062821833161,0
-26.629141091658084,0
-26.529219361483008,0
-26.429297631307929,0
-26.329375901132853,0
-26.229454170957776,0
-26.129532440782697,0
-26.029610710607621,0
-25.929688980432545,0
-25.829767250257465,0
-25.729845520082389,0
-25.629923789907313,0
-25.530002059732233,0
-25.430080329557157,0
-25.330158599382081,0
-25.230236869207001,0
-25.130315139031925,0
-25.030393408856849,0
-24.930471678681769,0
-24.830549948506693,0
-24.730628218331617,0
-24.630706488156537,0
-24.530784757981461,0
-24.430863027806385,0
-24.330941297631306,0
-24.231019567456229,0
-24.131097837281153,0
-24.031176107106077,0
-23.931254376930998,0
-23.831332646755921,0
-23.731410916580845,0
-23.631489186405766,0
-23.53156745623069,0
-23.431645726055613,0
-23.331723995880534,0
-23.231802265705458,0
-23.131880535530382,0
-23.031958805355302,0
-22.932037075180226,0
-22.83211534500515,0
-22.73219361483007,0
-22.632271884654994,0
-22.532350154479918,0
-22.432428424304838,0
-22.332506694129762,0
-22.232584963954686,0
-22.132663233779606,0
-22.03274150360453,0
-21.932819773429454,0
-21.832898043254374,0
-21.732976313079298,0
-21.633054582904222,0
-21.533132852729146,0
-21.433211122554066,0
-21.33328939237899,0
-21.233367662203914,0
-21.133445932028835,0
-21.033524201853758,0
-20.933602471678682,0
-20.833680741503603,0
-20.733759011328527,0
-20.633837281153451,0
-20.533915550978371,0
-20.433993820803295,0
-20.334072090628219,0
-20.234150360453139,0
-20.134228630278063,0
-20.034306900102987,0
-19.934385169927907,0
-19.834463439752831,0
-19.734541709577755,0
-19.634619979402675,0
-19.534698249227599,0
-19.434776519052523,0
-19.334854788877443,0
-19.234933058702367,0
-19.135011328527291,0
-19.035089598352215,0
-18.935167868177135,0
-18.835246138002059,0
-18.735324407826983,0
-18.635402677651904,0
-18.535480947476827,0
-18.435559217301751,0
-18.335637487126672,0
-18.235715756951596,0
-18.135794026776519,0
-18.03587229660144,0
-17.935950566426364,0
-17.836028836251288,0
-17.736107106076208,0
-17.636185375901132,0
-17.536263645726056,0
-17.436341915550976,0
-17.3364201853759,0
-17.236498455200824,0
-17.136576725025744,0
-17.036654994850668,0
-16.936733264675592,0
-16.836811534500512,0
-16.736889804325436,0
-16.63696807415036,0
-16.537046343975284,0
-16.437124613800208,0
-16.337202883625125,0
-16.237281153450049,0
-16.137359423274972,0
-16.037437693099896,0
-15.93751596292482,0
-15.837594232749744,0
-15.737672502574661,0
-15.637750772399585,0
-15.537829042224509,0
-15.437907312049433,0
-15.337985581874356,0
-15.23806385169928,0
-15.138142121524204,0
-15.038220391349121,0
-14.938298661174045,0
-14.838376930998969,0
-14.738455200823893,0
-14.638533470648817,0.15081574632404077
-14.53861174047374,0.3325418336289625
-14.438690010298657,0.39705563338543071
-14.338768280123581,0.43713112821842082
-14.238846549948505,0.46601246598174373
-14.138924819773429,0.48844462982628523
-14.039003089598353,0.50668524835077222
-13.939081359423277,0.52198726893379388
-13.839159629248194,0.53511827502915743
-13.739237899073117,0.54658230190920598
-13.639316168898041,0.55672787291813974
-13.539394438722965,0.56580582870719254
-13.439472708547889,0.5740025791385448
-13.339550978372813,0.5814603315918645
-13.23962924819773,0.58828997087993562
-13.139707518022654,0.59457957564381414
-13.039785787847578,0.60040023130272258
-12.939864057672501,0.6058101068895152
-12.839942327497425,0.610857382165926
-12.740020597322349,0.6155823927720061
-12.640098867147273,0.62001923096715306
-12.54017713697219,0.62419695944844822
-12.440255406797114,0.62814054507702455
-12.340333676622038,0.63187158648110486
-12.240411946446962,0.6354088877028452
-12.140490216271886,0.63876891529661672
-12.040568486096809,0.64196616610910762
-11.940646755921726,0.64501346583937713
-11.84072502574665,0.64792221339961809
-11.740803295571574,0.65070258243508117
-11.640881565396498,0.65336368868053607
-11.540959835221422,0.65591372985499485
-11.441038105046346,0.65836010331008099
-11.341116374871262,0.66070950553204755
-11.241194644696186,0.66296801674433725
-11.14127291452111,0.66514117319911081
-11.041351184346034,0.66723402923980091
-10.941429454170958,0.66925121081487093
-10.841507723995882,0.67119696181452371
-10.741585993820799,0.67307518434972069
-10.641664263645723,0.67488947389437515
-10.541742533470646,0.67664315005662745
-10.44182080329557,0.67833928360993712
-10.341899073120494,0.67998072031638679
-10.241977342945418,0.68157010198523715
-10.142055612770335,0.68310988514121385
-10.042133882595259,0.6846023576206266
-9.9422121524201827,0.68604965336134449
-9.8422904222451066,0.68745376561957294
-9.7423686920700305,0.68881655880681358
-9.6424469618949544,0.69013977911571822
-9.5425252317198783,0.69142506408103821
-9.4426035015447951,0.69267395119901942
-9.342681771369719,0.69388788571472326
-9.2427600411946429,0.69506822767061061
-9.1428383110195668,0.69621625829983458
-9.0429165808444907,0.69733318583325143
-8.9429948506694146,0.69842015078551611
-8.8430731204943314,0.69947823077369975
-8.7431513903192553,0.70050844491697006
-8.6432296601441791,0.70151175786030961
-8.543307929969103,0.70248908345978833
-8.4433861997940269,0.70344128816361007
-8.3434644696189508,0.70436919411553589
-8.2435427394438676,0.70527358201194801
-8.1436210092687915,0.70615519373108526
-8.0436992790937154,0.70701473475843812
-7.9437775489186393,0.70785287642615202
-7.8438558187435632,0.70867025798269623
-7.7439340885684871,0.70946748850791863
-7.6440123583934039,0.71024514868826572
-7.5440906282183278,0.7110037924626269
-7.4441688980432517,0.71174394855005829
-7.3442471678681756,0.71246612187018599
-7.2443254376930994,0.71317079486470192
-7.1444037075180233,0.71385842872779648
-7.0444819773429472,0.71452946455223554
-6.944560247167864,0.71518432439994939
-6.8446385169927879,0.71582341230077162
-6.7447167868177118,0.71644711518558069
-6.6447950566426357,0.71705580375998323
-6.5448733264675596,0.71764983332104038
-6.4449515962924835,0.71822954452317589
-6.3450298661174003,0.71879526409588101
