q_left,q_right,q_center,n_fw,n_fw_sem,n_fw_seed_7001,n_fw_seed_7002,n_fw_seed_7003,n_fw_seed_7004,n_fw_seed_7005
-36.042908224076285,-35.957091775923715,-36,0,0,0,0,0,0,0
-35.957091775923715,-35.871275327771158,-35.914183551847437,0,0,0,0,0,0,0
-35.871275327771158,-35.785458879618588,-35.828367103694873,0,0,0,0,0,0,0
-35.785458879618588,-35.699642431466032,-35.74255065554231,0,0,0,0,0,0,0
-35.699642431466032,-35.613825983313468,-35.656734207389746,0,0,0,0,0,0,0
-35.613825983313468,-35.528009535160905,-35.57091775923719,0,0,0,0,0,0,0
-35.528009535160905,-35.442193087008349,-35.485101311084627,0,0,0,0,0,0,0
-35.442193087008349,-35.356376638855778,-35.399284862932063,0,0,0,0,0,0,0
-35.356376638855778,-35.270560190703222,-35.3134684147795,0,0,0,0,0,0,0
-35.270560190703222,-35.184743742550651,-35.227651966626937,0,0,0,0,0,0,0
-35.184743742550651,-35.098927294398095,-35.141835518474373,0,0,0,0,0,0,0
-35.098927294398095,-35.013110846245524,-35.05601907032181,0,0,0,0,0,0,0
-35.013110846245524,-34.927294398092968,-34.970202622169246,0,0,0,0,0,0,0
-34.927294398092968,-34.841477949940405,-34.884386174016683,0,0,0,0,0,0,0
-34.841477949940405,-34.755661501787841,-34.798569725864127,0,0,0,0,0,0,0
-34.755661501787841,-34.669845053635285,-34.712753277711563,0,0,0,0,0,0,0
-34.669845053635285,-34.584028605482715,-34.626936829559,0,0,0,0,0,0,0
-34.584028605482715,-34.498212157330158,-34.541120381406436,0,0,0,0,0,0,0
-34.498212157330158,-34.412395709177588,-34.455303933253873,0,0,0,0,0,0,0
-34.412395709177588,-34.326579261025032,-34.36948748510131,0,0,0,0,0,0,0
-34.326579261025032,-34.240762812872461,-34.283671036948746,0,0,0,0,0,0,0
-34.240762812872461,-34.154946364719905,-34.197854588796183,0,0,0,0,0,0,0
-34.154946364719905,-34.069129916567348,-34.112038140643627,0,0,0,0,0,0,0
-34.069129916567348,-33.983313468414778,-34.026221692491063,0,0,0,0,0,0,0
-33.983313468414778,-33.897497020262222,-33.9404052443385,0,0,0,0,0,0,0
-33.897497020262222,-33.811680572109651,-33.854588796185936,0,0,0,0,0,0,0
-33.811680572109651,-33.725864123957095,-33.768772348033373,0,0,0,0,0,0,0
-33.725864123957095,-33.640047675804524,-33.68295589988081,0,0,0,0,0,0,0
-33.640047675804524,-33.554231227651968,-33.597139451728246,0,0,0,0,0,0,0
-33.554231227651968,-33.468414779499398,-33.511323003575683,0,0,0,0,0,0,0
-33.468414779499398,-33.382598331346841,-33.425506555423119,0,0,0,0,0,0,0
-33.382598331346841,-33.296781883194285,-33.339690107270563,0,0,0,0,0,0,0
-33.296781883194285,-33.210965435041714,-33.253873659118,0,0,0,0,0,0,0
-33.210965435041714,-33.125148986889158,-33.168057210965436,0,0,0,0,0,0,0
-33.125148986889158,-33.039332538736588,-33.082240762812873,0,0,0,0,0,0,0
-33.039332538736588,-32.953516090584031,-32.99642431466031,0,0,0,0,0,0,0
-32.953516090584031,-32.867699642431461,-32.910607866507746,0,0,0,0,0,0,0
-32.867699642431461,-32.781883194278905,-32.824791418355183,0,0,0,0,0,0,0
-32.781883194278905,-32.696066746126341,-32.738974970202619,0,0,0,0,0,0,0
-32.696066746126341,-32.610250297973778,-32.653158522050063,0,0,0,0,0,0,0
-32.610250297973778,-32.524433849821222,-32.5673420738975,0,0,0,0,0,0,0
-32.524433849821222,-32.438617401668651,-32.481525625744936,0,0,0,0,0,0,0
-32.438617401668651,-32.352800953516095,-32.395709177592373,0,0,0,0,0,0,0
-32.352800953516095,-32.266984505363524,-32.30989272943981,0,0,0,0,0,0,0
-32.266984505363524,-32.181168057210968,-32.224076281287246,0,0,0,0,0,0,0
-32.181168057210968,-32.095351609058397,-32.138259833134683,0,0,0,0,0,0,0
-32.095351609058397,-32.009535160905841,-32.052443384982119,0,0,0,0,0,0,0
-32.009535160905841,-31.923718712753278,-31.966626936829559,0,0,0,0,0,0,0
-31.923718712753278,-31.837902264600714,-31.880810488676996,0,0,0,0,0,0,0
-31.837902264600714,-31.752085816448151,-31.794994040524433,0,0,0,0,0,0,0
-31.752085816448151,-31.666269368295591,-31.709177592371873,0,0,0,0,0,0,0
-31.666269368295591,-31.580452920143028,-31.623361144219309,0,0,0,0,0,0,0
-31.580452920143028,-31.494636471990464,-31.537544696066746,0,0,0,0,0,0,0
-31.494636471990464,-31.408820023837901,-31.451728247914183,0,0,0,0,0,0,0
-31.408820023837901,-31.323003575685341,-31.365911799761619,0,0,0,0,0,0,0
-31.323003575685341,-31.237187127532778,-31.280095351609059,0,0,0,0,0,0,0
-31.237187127532778,-31.151370679380214,-31.194278903456496,0,0,0,0,0,0,0
-31.151370679380214,-31.065554231227651,-31.108462455303933,0,0,0,0,0,0,0
-31.065554231227651,-30.979737783075088,-31.022646007151369,0,0,0,0,0,0,0
-30.979737783075088,-30.893921334922528,-30.936829558998809,0,0,0,0,0,0,0
-30.893921334922528,-30.808104886769964,-30.851013110846246,0,0,0,0,0,0,0
-30.808104886769964,-30.722288438617401,-30.765196662693683,0,0,0,0,0,0,0
-30.722288438617401,-30.636471990464837,-30.679380214541119,0,0,0,0,0,0,0
-30.636471990464837,-30.550655542312278,-30.593563766388556,0,0,0,0,0,0,0
-30.550655542312278,-30.464839094159714,-30.507747318235996,0,0,0,0,0,0,0
-30.464839094159714,-30.379022646007151,-30.421930870083433,0,0,0,0,0,0,0
-30.379022646007151,-30.293206197854587,-30.336114421930869,0,0,0,0,0,0,0
-30.293206197854587,-30.207389749702028,-30.250297973778309,0,0,0,0,0,0,0
-30.207389749702028,-30.121573301549464,-30.164481525625746,0,0,0,0,0,0,0
-30.121573301549464,-30.035756853396901,-30.078665077473183,0,0,0,0,0,0,0
-30.035756853396901,-29.949940405244337,-29.992848629320619,0,0,0,0,0,0,0
-29.949940405244337,-29.864123957091774,-29.907032181168056,0,0,0,0,0,0,0
-29.864123957091774,-29.778307508939214,-29.821215733015492,0,0,0,0,0,0,0
-29.778307508939214,-29.692491060786651,-29.735399284862932,0,0,0,0,0,0,0
