q,n_lda
-353.565,0
-353.46500989819003,0
-353.36501979638007,0
-353.26502969457016,0
-353.16503959276019,0
-353.06504949095023,0
-352.96505938914027,0
-352.8650692873303,0
-352.76507918552034,0
-352.66508908371043,0
-352.56509898190046,0
-352.4651088800905,0
-352.36511877828053,0
-352.26512867647057,0
-352.16513857466066,0
-352.06514847285069,0
-351.96515837104073,0
-351.86516826923076,0
-351.7651781674208,0
-351.66518806561083,0
-351.56519796380093,0
-351.46520786199096,0
-351.365217760181,0
-351.26522765837103,0
-351.16523755656107,0
-351.0652474547511,0
-350.96525735294119,0
-350.86526725113123,0
-350.76527714932126,0
-350.6652870475113,0
-350.56529694570133,0
-350.46530684389143,0
-350.36531674208146,0
-350.2653266402715,0
-350.16533653846153,0
-350.06534643665157,0
-349.9653563348416,0
-349.86536623303169,0
-349.76537613122173,0
-349.66538602941176,0
-349.5653959276018,0
-349.46540582579183,0
-349.36541572398193,0
-349.26542562217196,0
-349.165435520362,0
-349.06544541855203,0
-348.96545531674207,0
-348.8654652149321,0
-348.76547511312219,0
-348.66548501131223,0
-348.56549490950226,0
-348.4655048076923,0
-348.36551470588233,0
-348.26552460407237,0
-348.16553450226246,0
-348.0655444004525,0
-347.96555429864253,0
-347.86556419683257,0
-347.7655740950226,0
-347.66558399321269,0
-347.56559389140273,0
-347.46560378959276,0
-347.3656136877828,0
-347.26562358597283,0
-347.16563348416287,0
-347.06564338235296,0
-346.96565328054299,0
-346.86566317873303,0
-346.76567307692306,0
-346.6656829751131,0
-346.56569287330319,0
-346.46570277149323,0
-346.36571266968326,0
-346.2657225678733,0
-346.16573246606333,0
-346.06574236425337,0
-345.96575226244346,0
-345.86576216063349,0
-345.76577205882353,0
-345.66578195701356,0
-345.5657918552036,0
-345.46580175339363,0
-345.36581165158373,0
-345.26582154977376,0
-345.1658314479638,0
-345.06584134615383,0
-344.96585124434387,0
-344.86586114253396,0
-344.76587104072399,0
-344.66588093891403,0
-344.56589083710406,0
-344.4659007352941,0
-344.36591063348413,0
-344.26592053167423,0
-344.16593042986426,0
-344.0659403280543,0
-343.96595022624433,0
-343.86596012443437,0
-343.76597002262446,0
-343.66597992081449,0
-343.56598981900453,0
-343.46599971719456,0
-343.3660096153846,0
-343.26601951357463,0
-343.16602941176473,0
-343.06603930995476,0
-342.9660492081448,0
-342.86605910633483,0
-342.76606900452487,0
-342.66607890271496,0
-342.56608880090499,0
-342.46609869909503,0
-342.36610859728506,0
-342.2661184954751,0
-342.16612839366513,0
-342.06613829185522,0
-341.96614819004526,0
-341.8661580882353,0
-341.76616798642533,0
-341.66617788461537,0
-341.5661877828054,0
-341.46619768099549,0
-341.36620757918553,0
-341.26621747737556,0
-341.1662273755656,0
-341.06623727375563,0
-340.96624717194572,0
-340.86625707013576,0
-340.76626696832579,0
-340.66627686651583,0
-340.56628676470586,0
-340.4662966628959,0
-340.36630656108599,0
-340.26631645927603,0
-340.16632635746606,0
-340.0663362556561,0
-339.96634615384613,0
-339.86635605203622,0
-339.76636595022626,0
-339.66637584841629,0
-339.56638574660633,0
-339.46639564479636,0
-339.3664055429864,0
-339.26641544117649,0
-339.16642533936653,0
-339.06643523755656,0
-338.9664451357466,0
-338.86645503393663,0
-338.76646493212672,0
-338.66647483031676,0
-338.56648472850679,0
-338.46649462669683,0
-338.36650452488686,0
-338.2665144230769,0
-338.16652432126699,0
-338.06653421945703,0
-337.96654411764706,0
-337.8665540158371,0
-337.76656391402713,0
-337.66657381221717,0
-337.56658371040726,0
-337.46659360859729,0
-337.36660350678733,0
-337.26661340497736,0
-337.1666233031674,0
-337.06663320135749,0
-336.96664309954753,0
-336.86665299773756,0
-336.7666628959276,0
-336.66667279411763,0
-336.56668269230767,0
-336.46669259049776,0
-336.36670248868779,0
-336.26671238687783,0
-336.16672228506786,0
-336.0667321832579,0
-335.96674208144793,0
-335.86675197963802,0
-335.76676187782806,0
-335.66677177601809,0
-335.56678167420813,0
-335.46679157239817,0
-335.36680147058826,0
-335.26681136877829,0
-335.16682126696833,0
-335.06683116515836,0
-334.9668410633484,0
-334.86685096153843,0
