q,n_lda
-40,0
-39.904648390941595,0
-39.809296781883191,0
-39.713945172824793,0
-39.618593563766389,0
-39.523241954707984,0
-39.42789034564958,0
-39.332538736591182,0
-39.237187127532778,0
-39.141835518474373,0
-39.046483909415969,0
-38.951132300357571,0
-38.855780691299167,0
-38.760429082240762,0
-38.665077473182357,0
-38.56972586412396,0
-38.474374255065555,0
-38.379022646007151,0
-38.283671036948746,0
-38.188319427890349,0
-38.092967818831944,0
-37.99761620977354,0
-37.902264600715135,0
-37.806912991656731,0
-37.711561382598333,0
-37.616209773539929,0
-37.520858164481524,0
-37.425506555423127,0
-37.330154946364722,0
-37.234803337306317,0
-37.139451728247913,0
-37.044100119189508,0
-36.948748510131111,0
-36.853396901072706,0
-36.758045292014302,0
-36.662693682955897,0
-36.5673420738975,0
-36.471990464839095,0
-36.376638855780691,0
-36.281287246722286,0
-36.185935637663889,0
-36.090584028605484,0
-35.995232419547079,0
-35.899880810488675,0
-35.804529201430277,0
-35.709177592371873,0
-35.613825983313468,0
-35.518474374255064,0
-35.423122765196666,0
-35.327771156138262,0
-35.232419547079857,0
-35.137067938021453,0
-35.041716328963048,0
-34.946364719904651,0
-34.851013110846246,0
-34.755661501787841,0
-34.660309892729444,0
-34.564958283671039,0
-34.469606674612635,0
-34.37425506555423,0
-34.278903456495826,0
-34.183551847437428,0
-34.088200238379024,0
-33.992848629320619,0
-33.897497020262215,0
-33.802145411203817,0
-33.706793802145413,0
-33.611442193087008,0
-33.516090584028603,0
-33.420738974970206,0
-33.325387365911801,0
-33.230035756853397,0
-33.134684147794992,0
-33.039332538736588,0
-32.94398092967819,0
-32.848629320619786,0
-32.753277711561381,0
-32.657926102502984,0
-32.562574493444579,0
-32.467222884386175,0
-32.37187127532777,0
-32.276519666269365,0
-32.181168057210968,0
-32.085816448152563,0
-31.990464839094159,0
-31.895113230035758,0
-31.799761620977357,0
-31.704410011918952,0
-31.609058402860548,0
-31.513706793802147,0
-31.418355184743742,0
-31.323003575685341,0
-31.227651966626937,0
-31.132300357568532,0
-31.036948748510131,0
-30.94159713945173,0
-30.846245530393325,0
-30.750893921334921,0
-30.65554231227652,0
-30.560190703218119,0
-30.464839094159714,0
-30.36948748510131,0
-30.274135876042909,0
-30.178784266984508,0
-30.083432657926103,0
-29.988081048867699,0
-29.892729439809298,0
-29.797377830750897,0
-29.702026221692492,0
-29.606674612634087,0
-29.511323003575686,0
-29.415971394517285,0
-29.320619785458881,0
-29.225268176400476,0
-29.129916567342075,0
-29.034564958283674,0
-28.93921334922527,0
-28.843861740166865,0
-28.748510131108461,0
-28.65315852205006,0
-28.557806912991659,0
-28.462455303933254,0
-28.367103694874849,0
-28.271752085816448,0
-28.176400476758047,0
-28.081048867699643,0
-27.985697258641238,0
-27.890345649582837,0
-27.794994040524436,0
