q_left,q_right,q_center,n_fw,n_fw_sem,n_fw_seed_7001,n_fw_seed_7002,n_fw_seed_7003,n_fw_seed_7004,n_fw_seed_7005
-48.561960865087542,-48.462039134912459,-48.512,0,0,0,0,0,0,0
-48.462039134912459,-48.36211740473739,-48.412078269824924,0,0,0,0,0,0,0
-48.36211740473739,-48.262195674562307,-48.312156539649848,0,0,0,0,0,0,0
-48.262195674562307,-48.162273944387231,-48.212234809474765,0,0,0,0,0,0,0
-48.162273944387231,-48.062352214212154,-48.112313079299696,0,0,0,0,0,0,0
-48.062352214212154,-47.962430484037071,-48.012391349124613,0,0,0,0,0,0,0
-47.962430484037071,-47.862508753862002,-47.912469618949537,0,0,0,0,0,0,0
-47.862508753862002,-47.762587023686919,-47.812547888774461,0,0,0,0,0,0,0
-47.762587023686919,-47.66266529351185,-47.712626158599384,0,0,0,0,0,0,0
-47.66266529351185,-47.562743563336767,-47.612704428424308,0,0,0,0,0,0,0
-47.562743563336767,-47.462821833161684,-47.512782698249225,0,0,0,0,0,0,0
-47.462821833161684,-47.362900102986615,-47.412860968074149,0,0,0,0,0,0,0
-47.362900102986615,-47.262978372811531,-47.312939237899073,0,0,0,0,0,0,0
-47.262978372811531,-47.163056642636462,-47.213017507723997,0,0,0,0,0,0,0
-47.163056642636462,-47.063134912461379,-47.113095777548921,0,0,0,0,0,0,0
-47.063134912461379,-46.963213182286303,-47.013174047373838,0,0,0,0,0,0,0
-46.963213182286303,-46.863291452111227,-46.913252317198769,0,0,0,0,0,0,0
-46.863291452111227,-46.763369721936144,-46.813330587023685,0,0,0,0,0,0,0
-46.763369721936144,-46.663447991761075,-46.713408856848609,0,0,0,0,0,0,0
-46.663447991761075,-46.563526261585992,-46.613487126673533,0,0,0,0,0,0,0
-46.563526261585992,-46.463604531410923,-46.513565396498457,0,0,0,0,0,0,0
-46.463604531410923,-46.363682801235839,-46.413643666323381,0,0,0,0,0,0,0
-46.363682801235839,-46.263761071060756,-46.313721936148298,0,0,0,0,0,0,0
-46.263761071060756,-46.163839340885687,-46.213800205973222,0,0,0,0,0,0,0
-46.163839340885687,-46.063917610710604,-46.113878475798145,0,0,0,0,0,0,0
-46.063917610710604,-45.963995880535535,-46.013956745623069,0,0,0,0,0,0,0
-45.963995880535535,-45.864074150360452,-45.914035015447993,0,0,0,0,0,0,0
-45.864074150360452,-45.764152420185383,-45.814113285272917,0,0,0,0,0,0,0
-45.764152420185383,-45.664230690010299,-45.714191555097841,0,0,0,0,0,0,0
-45.664230690010299,-45.564308959835216,-45.614269824922758,0,0,0,0,0,0,0
-45.564308959835216,-45.464387229660147,-45.514348094747682,0,0,0,0,0,0,0
-45.464387229660147,-45.364465499485064,-45.414426364572606,0,0,0,0,0,0,0
-45.364465499485064,-45.264543769309995,-45.31450463439753,0,0,0,0,0,0,0
