q_left,q_right,q_center,n_fw,n_fw_sem,n_fw_seed_7001,n_fw_seed_7002,n_fw_seed_7003,n_fw_seed_7004,n_fw_seed_7005
-163.52348826159869,-163.42350447177193,-163.47349636668531,0,0,0,0,0,0,0
-163.42350447177193,-163.32352068194524,-163.37351257685859,0,0,0,0,0,0,0
-163.32352068194524,-163.22353689211849,-163.27352878703186,0,0,0,0,0,0,0
-163.22353689211849,-163.12355310229179,-163.17354499720514,0,0,0,0,0,0,0
-163.12355310229179,-163.02356931246507,-163.07356120737842,0,0,0,0,0,0,0
-163.02356931246507,-162.92358552263835,-162.97357741755172,0,0,0,0,0,0,0
-162.92358552263835,-162.82360173281165,-162.873593627725,0,0,0,0,0,0,0
-162.82360173281165,-162.7236179429849,-162.77360983789828,0,0,0,0,0,0,0
-162.7236179429849,-162.62363415315821,-162.67362604807155,0,0,0,0,0,0,0
-162.62363415315821,-162.52365036333146,-162.57364225824483,0,0,0,0,0,0,0
-162.52365036333146,-162.42366657350476,-162.47365846841811,0,0,0,0,0,0,0
-162.42366657350476,-162.32368278367807,-162.37367467859141,0,0,0,0,0,0,0
-162.32368278367807,-162.22369899385131,-162.27369088876469,0,0,0,0,0,0,0
-162.22369899385131,-162.12371520402462,-162.17370709893797,0,0,0,0,0,0,0
-162.12371520402462,-162.02373141419787,-162.07372330911124,0,0,0,0,0,0,0
-162.02373141419787,-161.92374762437117,-161.97373951928452,0,0,0,0,0,0,0
-161.92374762437117,-161.82376383454445,-161.8737557294578,0,0,0,0,0,0,0
-161.82376383454445,-161.72378004471773,-161.7737719396311,0,0,0,0,0,0,0
-161.72378004471773,-161.62379625489103,-161.67378814980438,0,0,0,0,0,0,0
-161.62379625489103,-161.52381246506428,-161.57380435997766,0,0,0,0,0,0,0
-161.52381246506428,-161.42382867523759,-161.47382057015093,0,0,0,0,0,0,0
-161.42382867523759,-161.32384488541084,-161.37383678032421,0,0,0,0,0,0,0
-161.32384488541084,-161.22386109558414,-161.27385299049749,0,0,0,0,0,0,0
-161.22386109558414,-161.12387730575742,-161.17386920067077,0,0,0,0,0,0,0
-161.12387730575742,-161.02389351593069,-161.07388541084407,0,0,0,0,0,0,0
-161.02389351593069,-160.923909726104,-160.97390162101735,0,0,0,0,0,0,0
-160.923909726104,-160.82392593627725,-160.87391783119062,0,0,0,0,0,0,0
-160.82392593627725,-160.72394214645055,-160.7739340413639,0,0,0,0,0,0,0
-160.72394214645055,-160.6239583566238,-160.67395025153718,0,0,0,0,0,0,0
-160.6239583566238,-160.52397456679711,-160.57396646171046,0,0,0,0,0,0,0
-160.52397456679711,-160.42399077697038,-160.47398267188373,0,0,0,0,0,0,0
-160.42399077697038,-160.32400698714366,-160.37399888205704,0,0,0,0,0,0,0
-160.32400698714366,-160.22402319731697,-160.27401509223031,0,0,0,0,0,0,0
-160.22402319731697,-160.12403940749022,-160.17403130240359,0,0,0,0,0,0,0
-160.12403940749022,-160.02405561766352,-160.07404751257687,0,0,0,0,0,0,0
-160.02405561766352,-159.92407182783677,-159.97406372275015,0,0,0,0,0,0,0
-159.92407182783677,-159.82408803801007,-159.87407993292342,0,0,0,0,0,0,0
-159.82408803801007,-159.72410424818335,-159.7740961430967,0,0,0,0,0,0,0
-159.72410424818335,-159.62412045835663,-159.67411235327,0,0,0,0,0,0,0
-159.62412045835663,-159.52413666852993,-159.57412856344328,0,0,0,0,0,0,0
-159.52413666852993,-159.42415287870318,-159.47414477361656,0,0,0,0,0,0,0
-159.42415287870318,-159.32416908887649,-159.37416098378984,0,0,0,0,0,0,0
-159.32416908887649,-159.22418529904974,-159.27417719396311,0,0,0,0,0,0,0
-159.22418529904974,-159.12420150922304,-159.17419340413639,0,0,0,0,0,0,0
-159.12420150922304,-159.02421771939632,-159.07420961430967,0,0,0,0,0,0,0
-159.02421771939632,-158.9242339295696,-158.97422582448297,0,0,0,0,0,0,0
-158.9242339295696,-158.8242501397429,-158.87424203465625,0,0,0,0,0,0,0
-158.8242501397429,-158.72426634991615,-158.77425824482953,0,0,0,0,0,0,0
-158.72426634991615,-158.62428256008945,-158.6742744550028,0,0,0,0,0,0,0
-158.62428256008945,-158.5242987702627,-158.57429066517608,0,0,0,0,0,0,0
-158.5242987702627,-158.42431498043601,-158.47430687534936,0,0,0,0,0,0,0
-158.42431498043601,-158.32433119060929,-158.37432308552263,0,0,0,0,0,0,0
-158.32433119060929,-158.22434740078256,-158.27433929569594,0,0,0,0,0,0,0
-158.22434740078256,-158.12436361095587,-158.17435550586922,0,0,0,0,0,0,0
-158.12436361095587,-158.02437982112912,-158.07437171604249,0,0,0,0,0,0,0
-158.02437982112912,-157.92439603130242,-157.97438792621577,0,0,0,0,0,0,0
-157.92439603130242,-157.82441224147567,-157.87440413638905,0,0,0,0,0,0,0
-157.82441224147567,-157.72442845164898,-157.77442034656232,0,0,0,0,0,0,0
-157.72442845164898,-157.62444466182228,-157.67443655673563,0,0,0,0,0,0,0
