dt,energy,conservative_stderr,case_id,run_name,result_schema_version,run_id,bundle_sha256,run_status,energy_status,energy_publication_accepted,energy_publication_status,energy_status_basis,source_energy_publication_accepted,source_energy_publication_status,energy_assessment_manifest_sha256,energy_assessment_run_id,seed_count,seeds,summary_path,summary_sha256,manifest_path,manifest_sha256,manifest_verification,local_acceptance_fraction_mean,invalid_proposal_fraction_max,metropolis_rejection_fraction_max,configuration_esjd_mean,log_weight_span_max,rhat_energy,neff_energy,population_weight_status
0.000625,838.0703893870741,0.0003306746369573825,N20_A1,dmc_benchmark_packet,dmc_benchmark_packet_v3,dmc_benchmark_packet_2026-07-15T02:13:45Z_23c31f11f881,91e8b51a5d131224af967c89b021a5a645cd182400976131caed8c9c178a5a26,accepted,accepted,True,accepted_with_precision_warning,source_summary,True,accepted_with_precision_warning,,,5,"7001,7002,7003,7004,7005",/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/final_matrix/thesis_5seed_all_optimized_v1/N20_A1/summary.json,861d40cc26eb58d43775a62b0249b8f083548d010b16a732731f708600a61365,/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/final_matrix/thesis_5seed_all_optimized_v1/N20_A1/run_manifest.json,4ed2d352ccadcd3148578040abc8db1db757dd2c418f970c8be336a6f199979b,verified,0.9749969665527344,0.004638671875,0.0275390625,0.01229092618889786,7.193721891147737,1.0003663771627402,1708.33730589608,accepted
0.00125,838.0699769838656,0.0016193155488477785,N20_A1,dmc_trapped_stationarity_grid,dmc_trapped_stationarity_grid_v2,dmc_trapped_stationarity_grid_2026-07-16T11:00:28Z_0997ed4efe1d,bedad22eab6280ac67a9153025bd153b80fe2fb5a2123cb40fac6f84a38d1c9f,accepted_with_warnings,blocking_plateau_unresolved_correlated_error_available,True,accepted_with_precision_warning,source_summary,True,accepted_with_precision_warning,,,3,"10401,10402,10403",/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/timestep_energy_v1/N20_A1/dt_0.00125_seeds10401_10403_tau60/summary.json,b17c38b046c436777bcc7e1227e85b565c9c7bde7e370ea9179beb1c211a5dd3,/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/timestep_energy_v1/N20_A1/dt_0.00125_seeds10401_10403_tau60/run_manifest.json,3f16a7b3b7b5f08bad69a1af7b5e4a01ca4b59275892cb5c7a2ba3b99e9beaf0,verified,0.9430990532769097,0.01123046875,0.058203125,0.023931256334997392,6.754799071657475,1.0040869044808984,225.32405060849877,accepted
0.002,838.0651928491574,0.0013293025208869112,N20_A1,dmc_trapped_stationarity_grid,dmc_trapped_stationarity_grid_v2,dmc_trapped_stationarity_grid_2026-07-16T11:05:01Z_92f9179f1308,29ac4903e3a3aa5818beaefaf6fbdfc33ba76a15906fe6f0444a05a236f17a22,accepted_with_warnings,blocking_plateau_unresolved_correlated_error_available,True,accepted_with_precision_warning,source_summary,True,accepted_with_precision_warning,,,3,"10421,10422,10423",/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/timestep_energy_v1/N20_A1/dt_0.002_seeds10421_10423_tau60/summary.json,d2ae5dc717267ac93a3258e08098023d614733e303e401186bb0d7afbeb0e49d,/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/timestep_energy_v1/N20_A1/dt_0.002_seeds10421_10423_tau60/run_manifest.json,5993104ce2b9a5b79c52131fa4e0e43bfc7721640a6caa892921ecb0eb24dd85,verified,0.9023370225694444,0.022298177083333332,0.09798177083333333,0.03686610156756095,6.169598716739684,1.0017679431975508,196.90917979386694,accepted
0.0025,838.0698585046181,0.005301808106122129,N20_A1,dmc_trapped_stationarity_grid,dmc_trapped_stationarity_grid_v2,dmc_trapped_stationarity_grid_2026-07-16T08:39:40Z_186025b38ecf,617b1ecd222ebdfbdc8e5611c74214527640fd46b309fe3c18aa0cde93a556ab,accepted_with_warnings,blocking_plateau_unresolved_correlated_error_available,True,accepted_with_precision_warning,source_summary,True,accepted_with_precision_warning,,,3,"8101,8102,8103",/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/calibration/acceptance_dmc_ladder_v1/N20_A1/dt_0.0025_seeds8101_8103_tau20/summary.json,e4552d6341023e21b9e274b9960318b5b8e7a13d6aa22c482d5d221e951beee3,/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/calibration/acceptance_dmc_ladder_v1/N20_A1/dt_0.0025_seeds8101_8103_tau20/run_manifest.json,95b3fd935da8091b61650f7058042aac5e39cade82c3078baed055e31c964a13,verified,0.8746654459635416,0.02890625,0.1201171875,0.044830399416193815,6.411062247335397,1.0336649529060529,69.9003263852726,accepted
