comparison,treatment_role,timestep,reference_fine_dt,coarse_dt,selected_dt,selected_dt_basis,is_selected_treatment,first_walkers,second_walkers,mean_difference,paired_standard_error,source_run_quadrature_standard_error,worst_case_arbitrary_covariance_standard_error_envelope,conservative_standard_error,upper_allowance,reporting_resolution,bounded_below_reporting_resolution,classification
reference_fine_last_doubling,reference_fine,0.005,0.005,0.02,0.02,explicit_selected_dt,False,256,512,-7.605305069091628e-05,8.070661018538115e-05,0.0002936064151993057,0.00041189195063386953,0.0002936064151993057,0.0013393394945201628,0.01,True,accepted_finite_population_bound
coarse_last_doubling,coarse,0.02,0.005,0.02,0.02,explicit_selected_dt,True,256,512,0.0004736327404752198,0.00027014495576522716,0.0004170002488409677,0.0005829388170141892,0.0004170002488409677,0.0022678399994570143,0.01,True,accepted_finite_population_bound
timestep_population_interaction,cross_timestep,,0.005,0.02,0.02,explicit_selected_dt,,256,512,0.0005496857911661361,0.0002819429978790245,0.0005099940534747597,0.0009948307676480588,0.0005099940534747597,0.002744013097505304,0.01,True,accepted
