dt,walkers,energy,conservative_stderr,case_id,run_name,result_schema_version,run_id,bundle_sha256,run_status,energy_status,energy_publication_accepted,energy_publication_status,energy_status_basis,source_energy_publication_accepted,source_energy_publication_status,seed_count,seeds,summary_path,summary_sha256,manifest_path,manifest_sha256,manifest_verification,local_acceptance_fraction_mean,invalid_proposal_fraction_max,metropolis_rejection_fraction_max,configuration_esjd_mean,log_weight_span_max,rhat_energy,neff_energy,population_weight_status
0.005,256,238.80546109780553,0.00023218752202916262,N20_A0.1,dmc_trapped_stationarity_grid,dmc_trapped_stationarity_grid_v2,dmc_trapped_stationarity_grid_2026-07-16T10:52:13Z_55f8a0bf3e53,c3b850966b9c148baece0149918324b8a69bbd142600bfff05f67c28408d12fe,accepted_with_warnings,blocking_plateau_unresolved_correlated_error_available,True,accepted_with_precision_warning,retrospective_population_stationarity_assessment,True,accepted_with_precision_warning,3,"10301,10302,10303",/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/timestep_energy_v1/N20_A0.1/dt_0.005_seeds10301_10303_tau60/summary.json,be8791dcb1206f50dda7e09adef0c1fa633bc973de5c24a5b13d6031f7e1ba1c,/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/timestep_energy_v1/N20_A0.1/dt_0.005_seeds10301_10303_tau60/run_manifest.json,2b6ebfc3d1415894d4291864ed583645245fedf88db478b173558cd0dce896de,verified,0.8512735460069445,0.04765625,0.15546875,0.0874832561248395,2.6003578682788877,1.0065442579940536,110.18994652755374,accepted
0.005,512,238.80538504475484,0.0001797044286047069,N20_A0.1,dmc_trapped_stationarity_grid,dmc_trapped_stationarity_grid_v2,dmc_trapped_stationarity_grid_2026-07-16T14:08:24Z_e2abee4cbad4,a0fa82d6d302c4cb6f1bfd663979d1e98aad9570e1c345285a20f7f383faf30a,accepted_with_warnings,blocking_plateau_unresolved_correlated_error_available,True,accepted_with_precision_warning,retrospective_population_stationarity_assessment,True,accepted_with_precision_warning,3,"10301,10302,10303",/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/population_energy_selected_v1/N20_A0.1/dt_0.005_W512_seeds10301_10303_tau60/summary.json,f45e013475a7665b905973b64a11f9c0ddbb85302533151cb3ec52f7656e7a8d,/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/population_energy_selected_v1/N20_A0.1/dt_0.005_W512_seeds10301_10303_tau60/run_manifest.json,c9689f7a35a9c5224c7cb1725f7f62da134b97ac2a412a3851fe1249123e576f,verified,0.8512067057291667,0.0390625,0.14609375,0.08748860970590873,2.78936494273428,1.0046787156247492,102.81514998597535,accepted
0.02,256,238.80339855402926,0.0003360809279974559,N20_A0.1,dmc_trapped_stationarity_grid,dmc_trapped_stationarity_grid_v2,dmc_trapped_stationarity_grid_2026-07-16T10:52:57Z_5549d59feaf8,8ef7cd404f29fab1cbd9177f08a86ca26cc846790fe3b847a22918ab111d5c67,accepted_with_warnings,blocking_plateau_unresolved_correlated_error_available,True,accepted_with_precision_warning,retrospective_population_stationarity_assessment,True,accepted_with_precision_warning,3,"10311,10312,10313",/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/timestep_energy_v1/N20_A0.1/dt_0.02_seeds10311_10313_tau60/summary.json,f7daf9c78da96b7331925986d2de9eb338f3bb52e5f30428c337421ccb258a17,/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/timestep_energy_v1/N20_A0.1/dt_0.02_seeds10311_10313_tau60/run_manifest.json,a224e07bc13ba28faa854f5bbba48f2b3c9f1775675459078af62f5b5682cc22,verified,0.42417230902777775,0.328125,0.47265625,0.1760577480850907,3.3024490327799025,1.0055887830551007,48.005334799296655,accepted
0.02,512,238.8038721867697,0.00024685788901673334,N20_A0.1,dmc_trapped_stationarity_grid,dmc_trapped_stationarity_grid_v2,dmc_trapped_stationarity_grid_2026-07-16T14:07:22Z_9865a9e04575,013fb607451ad1705b9c5928a3572cfc6b6011050c0ed67730a1c2c4c9f61015,accepted_with_warnings,blocking_plateau_unresolved_correlated_error_available,True,accepted_with_precision_warning,retrospective_population_stationarity_assessment,True,accepted_with_precision_warning,3,"10311,10312,10313",/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/population_energy_selected_v1/N20_A0.1/dt_0.02_W512_seeds10311_10313_tau60/summary.json,07d4a50e93b5558c0e4665a9d9eb261252ed5f1f1bfa1868421b12c0bc02395c,/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/population_energy_selected_v1/N20_A0.1/dt_0.02_W512_seeds10311_10313_tau60/run_manifest.json,873ca92759f1cc97e1a8cc6377d3fd6082cd95a876565278625bf4e45d48c264,verified,0.4234937065972222,0.30078125,0.42578125,0.17580071457416083,3.784507776627751,1.0091275623397586,53.68233979373147,accepted
