dt,energy,conservative_stderr,case_id,run_name,result_schema_version,run_id,bundle_sha256,run_status,energy_status,energy_publication_accepted,energy_publication_status,energy_status_basis,source_energy_publication_accepted,source_energy_publication_status,energy_assessment_manifest_sha256,energy_assessment_run_id,seed_count,seeds,summary_path,summary_sha256,manifest_path,manifest_sha256,manifest_verification,local_acceptance_fraction_mean,invalid_proposal_fraction_max,metropolis_rejection_fraction_max,configuration_esjd_mean,log_weight_span_max,rhat_energy,neff_energy,population_weight_status
0.00125,146.8372648745057,0.00023482824821975792,N10_A1,dmc_benchmark_packet,dmc_benchmark_packet_v3,dmc_benchmark_packet_2026-07-14T21:24:25Z_363dfc38c033,ce7a0ef7264b31f5c6bc1df571f16fe8e5f7f9124aa2bb8d69090c14ce18816a,accepted,accepted,True,accepted_with_precision_warning,source_summary,True,accepted_with_precision_warning,,,5,"7001,7002,7003,7004,7005",/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/final_matrix/thesis_5seed_all_optimized_v1/N10_A1/summary.json,f3b371a7ccc1292c61cccc8fd810026235f9dec29d0a097c5e42dd61dcb93d1d,/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/final_matrix/thesis_5seed_all_optimized_v1/N10_A1/run_manifest.json,8db202a0deeb7c531aac77d21487f82a980ff473b833c47d9b0f3e44eee0c1b2,verified,0.9884170989990235,0.0029296875,0.01572265625,0.012447118001745586,7.384819996542511,1.0007446985072403,1483.839322175709,accepted
0.0025,146.8369595995183,0.0006313530461041975,N10_A1,dmc_trapped_stationarity_grid,dmc_trapped_stationarity_grid_v2,dmc_trapped_stationarity_grid_2026-07-16T10:32:25Z_edfbdb8f6793,ac98e21f50f21d9d510ca7d558f15d2157a7b4b13a08994d082cff499ff8ba38,accepted_with_warnings,blocking_plateau_unresolved_correlated_error_available,True,accepted_with_precision_warning,source_summary,True,accepted_with_precision_warning,,,3,"10101,10102,10103",/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/timestep_energy_v1/N10_A1/dt_0.0025_seeds10101_10103_tau60/summary.json,709b303e60ad8d5c84a234028b51263962c90e9d4e671040443f5840aa5d4dfa,/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/timestep_energy_v1/N10_A1/dt_0.0025_seeds10101_10103_tau60/run_manifest.json,326878a8d8c39d1da9799156eb996fddf0c4c89c8e23c372e388e3a7abb1c655,verified,0.9728568250868056,0.0068359375,0.0328125,0.024644087092750715,6.628632786450308,1.0027773510104863,217.72610547833838,accepted
0.005,146.83684997033546,0.0007951365251722863,N10_A1,dmc_trapped_stationarity_grid,dmc_trapped_stationarity_grid_v2,dmc_trapped_stationarity_grid_2026-07-16T10:33:19Z_c153d28b146d,925fa6e79f521c43902d9e2bc7a700f19db3e3af13d4631c60ee1ae9c3216f8b,accepted_with_warnings,blocking_plateau_unresolved_correlated_error_available,True,accepted_with_precision_warning,source_summary,True,accepted_with_precision_warning,,,3,"10111,10112,10113",/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/timestep_energy_v1/N10_A1/dt_0.005_seeds10111_10113_tau60/summary.json,57f2eb3011ccf8db3d403bde2a2beaabb1e11638295716734a9f4f27a6144a8d,/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/timestep_energy_v1/N10_A1/dt_0.005_seeds10111_10113_tau60/run_manifest.json,e0f30c2ab774e0857c098b5508b1ced75d3bfd76bbc7c6b940f3dd5a728d9150,verified,0.9381844618055556,0.016015625,0.0703125,0.0479463000641193,6.0708090664672145,1.0049906081261244,152.28777054609876,accepted
0.01,146.83755221128834,0.0008365456919785618,N10_A1,dmc_trapped_stationarity_grid,dmc_trapped_stationarity_grid_v2,dmc_trapped_stationarity_grid_2026-07-16T10:33:59Z_5c60b37c5538,c8c2d321beee27a7566e40108db290370538bc27d2c05be2ac634bb9a9822e97,accepted_with_warnings,blocking_plateau_unresolved_correlated_error_available,True,accepted_with_precision_warning,source_summary,True,accepted_with_precision_warning,,,3,"10121,10122,10123",/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/timestep_energy_v1/N10_A1/dt_0.01_seeds10121_10123_tau60/summary.json,d67f0e32efdc85310bd666e983917ac2b3ee3fdf423bc4825f18eb67ca1c3a6a,/Users/batu/Desktop/UPC/TFM/hardrod-qmc/results/dmc/systematics/timestep_energy_v1/N10_A1/dt_0.01_seeds10121_10123_tau60/run_manifest.json,03d57f40351d25957579aa0b9406dd225c701e6e7a358b0de185fa408e907b64,verified,0.8636041666666667,0.048828125,0.1484375,0.08926056879008154,7.243786336536835,1.002565111837574,163.51915571916734,accepted
