shell_cell,left,right,center,anchor_envelope,candidate_envelope,anchor_peak_position,candidate_peak_position,peak_position_shift_in_cell_widths,anchor_peak_amplitude,candidate_peak_amplitude,peak_amplitude_relative_difference
1,-40.047675804529206,-6.410383364438835,-23.22902958448402,0.02972890882288008,0.029726208616922115,-7.294398092967819,-7.294398092967819,0.0,1.041693925803313,1.0393716595790614,-0.002229317236788964
2,-6.410383364438835,-4.72353658046086,-5.5669599724498475,0.5928220686657555,0.5928271140707523,-5.578069129916569,-5.578069129916569,0.0,1.193703873203012,1.1923259397346666,-0.0011543344201842324
3,-4.72353658046086,-3.119476958137692,-3.9215067692992758,0.6234182234147224,0.6234430665628811,-3.957091775923722,-3.8617401668653173,0.059443930718925723,1.2637266918215435,1.2631680419439812,-0.00044206542536268334
4,-3.119476958137692,-1.5508220038395661,-2.335149480988629,0.6374888226757534,0.6375063752577791,-2.3361144219308727,-2.3361144219308727,0.0,1.3200565218041944,1.319409871982218,-0.0004898652529609587
5,-1.5508220038395661,5.6889637160861796e-15,-0.7754110019197802,0.6448193264760043,0.6448289555350569,-0.8104886769964263,-0.8104886769964263,0.0,1.3292387542731297,1.3286311713053591,-0.00045709092201631725
6,5.6889637160861796e-15,1.5508220038395846,0.7754110019197952,0.6448193264760014,0.6448289555350547,0.810488676996421,0.810488676996421,0.0,1.3292387542731297,1.3286311713053591,-0.00045709092201631725
7,1.5508220038395846,3.1194769581376947,2.3351494809886395,0.6374888226757598,0.6375063752577849,2.3361144219308674,2.3361144219308674,0.0,1.3200565218041944,1.319409871982218,-0.0004898652529609587
8,3.1194769581376947,4.7235365804608485,3.9215067692992713,0.623418223414728,0.6234430665628867,3.9570917759237147,3.861740166865312,-0.05944393071892514,1.2637266918215435,1.2631680419439812,-0.00044206542536268334
9,4.7235365804608485,6.410383364438841,5.566959972449845,0.5928220686657493,0.5928271140707473,5.578069129916564,5.578069129916564,0.0,1.193703873203012,1.1923259397346666,-0.0011543344201842324
10,6.410383364438841,40.047675804529206,23.229029584484024,0.029728908822880085,0.029726208616921938,7.294398092967818,7.294398092967818,0.0,1.041693925803313,1.0393716595790614,-0.002229317236788964
